sample_name	annotated time/stage	Rank
AQ0100	1	1
AQ0065	1	2
AQ0099	1	3
AQ0003	1	4
AQ0028	2	5
AQ0004	2	6
AQ0059	2	7
AQ0063	2	8
AQ0005	2	9
AQ0060	2	10
AQ0009	2	11
AQ0051	3	12
AQ0010	3	13
AQ0068	3	14
AQ0008	3	15
AQ0017	3	16
AQ0064	3	17
AQ0006	3	18
AQ0074	4	19
AQ0078	4	20
AQ0030	4	21
AQ0066	4	22
AQ0048	4	23
AQ0040	4	24
AQ0097	5	25
AQ0079	5	26
AQ0007	5	27
AQ0095	5	28
AQ0088	5	29
AQ0070	6	30
AQ0002	6	31
AQ0026	6	32
AQ0085	6	33
AQ0042	6	34
AQ0013	6	35
AQ0019	7	36
AQ0032	7	37
AQ0038	7	38
AQ0001	7	39
AQ0027	7	40
AQ0057	7	41
AQ0098	7	42
AQ0029	8	43
AQ0084	8	44
AQ0034	8	45
AQ0025	8	46
AQ0022	8	47
AQ0081	8	48
AQ0094	8	49
AQ0096	8	50
AQ0053	8	51
