sample_name	annotated time/stage	Rank
CE0095	-50	1
CE0096	-30	2
CE0051	0	3
CE0052	0	4
CE0098	10	5
CE0072	20	6
CE0046	30	7
CE0053	30	8
CE0054	30	9
CE0101	40	10
CE0102	50	11
CE0103	60	12
CE0104	70	13
CE0055	70	14
CE0056	70	15
CE0107	100	16
CE0108	110	17
CE0057	110	18
CE0109	120	19
CE0110	130	20
CE0060	140	21
CE0111	140	22
CE0112	150	23
CE0113	160	24
CE0114	170	25
CE0115	180	26
CE0116	190	27
CE0074	200	28
CE0086	200	29
CE0087	210	30
CE0088	220	31
CE0076	220	32
CE0120	230	33
CE0123	260	34
CE0124	270	35
CE0091	280	36
CE0092	290	37
CE0080	290	38
CE0127	300	39
CE0063	310	40
CE0064	310	41
CE0128	310	42
CE0129	320	43
CE0130	330	44
CE0066	340	45
CE0131	340	46
CE0132	350	47
CE0133	360	48
CE0134	370	49
CE0081	380	50
CE0067	380	51
CE0068	380	52
CE0136	390	53
CE0082	400	54
CE0069	400	55
CE0138	410	56
CE0020	410	57
CE0139	420	58
CE0013	430	59
CE0005	440	60
CE0015	450	61
CE0017	490	62
CE0016	510	63
CE0034	540	64
CE0021	550	65
CE0024	580	66
CE0014	600	67
CE0033	620	68
CE0023	630	69
CE0042	640	70
CE0025	660	71
CE0035	690	72
CE0032	700	73
CE0028	740	74
CE0045	750	75
CE0040	760	76
CE0037	780	77
CE0049	800	78
CE0041	810	79
CE0050	830	80
CE0048	840	81
