sample_name	annotated time/stage	
DM0001	-15	1
DM0002	0	2
DM0003	15	3
DM0004	30	4
DM0005	45	5
DM0006	60	6
DM0007	75	7
DM0008	90	8
DM0009	105	9
DM0011	135	10
DM0012	150	11
DM0013	165	12
DM0014	180	13
DM0015	195	14
DM0016	210	15
DM0018	240	16
DM0019	255	17
DM0020	270	18
DM0021	285	19
DM0022	300	20
DM0023	315	21
DM0024	330	22
DM0025	345	23
DM0026	360	24
DM0027	375	25
DM0028	390	26
DM0029	405	27
DM0030	420	28
DM0031	435	29
DM0032	450	30
DM0033	465	31
DM0034	480	32
DM0035	495	33
DM0036	510	34
DM0037	525	35
DM0038	540	36
DM0039	555	37
DM0040	570	38
DM0041	585	39
DM0042	600	40
DM0043	615	41
DM0044	630	42
DM0045	645	43
DM0046	660	44
DM0047	675	45
DM0048	690	46
DM0049	705	47
DM0050	720	48
DM0051	735	49
DM0052	750	50
DM0053	765	51
DM0054	780	52
DM0055	795	53
DM0056	810	54
DM0058	840	55
DM0059	855	56
DM0060	870	57
DM0061	885	58
DM0062	900	59
DM0063	915	60
DM0064	930	61
DM0065	945	62
DM0066	960	63
DM0067	975	64
DM0068	990	65
DM0070	1020	66
DM0071	1035	67
DM0077	1125	68
DM0078	1140	69
DM0081	1185	70
DM0083	1215	71
DM0084	1230	72
DM0085	1245	73
DM0087	1275	74
DM0088	1290	75
DM0089	1305	76
DM0090	1320	77
