sample_name	annotated time/stage	Rank
FW0108	1	1
FW0112	2	2
FW0114	2	3
FW0115	2	4
FW0130	3	5
FW0122	3	6
FW0132	3	7
FW0121	3	8
FW0125	3	9
FW0042	4	10
FW0041	4	11
FW0038	4	12
FW0043	4	13
FW0036	4	14
FW0035	4	15
FW0049	5	16
FW0057	5	17
FW0047	5	18
FW0050	5	19
FW0054	5	20
FW0055	5	21
FW0051	5	22
FW0052	5	23
FW0073	6	24
FW0065	6	25
FW0066	6	26
FW0061	6	27
FW0070	6	28
FW0067	6	29
FW0058	6	30
FW0064	6	31
FW0059	6	32
FW0069	6	33
FW0084	7	34
FW0085	7	35
FW0088	7	36
FW0089	7	37
FW0075	7	38
FW0081	7	39
FW0080	7	40
FW0078	7	41
FW0079	7	42
FW0077	7	43
FW0087	7	44
FW0083	7	45
FW0082	7	46
FW0074	7	47
FW0092	8	48
FW0090	8	49
FW0100	8	50
FW0095	8	51
FW0091	8	52
FW0103	8	53
FW0093	8	54
FW0098	8	55
FW0096	8	56
FW0102	8	57
FW0101	8	58
