sample_name	annotated time/stage	Rank
HD0001	0	1
HD0002	30	2
HD0003	60	3
HD0004	90	4
HD0005	120	5
HD0006	180	6
HD0007	240	7
HD0008	270	8
HD0009	300	9
HD0010	360	10
HD0012	420	11
HD0013	450	12
HD0014	480	13
HD0015	510	14
HD0016	540	15
HD0110	900	16
HD0111	930	17
HD0112	960	18
HD0113	990	19
HD0119	1170	20
HD0123	1290	21
HD0124	1320	22
HD0125	1350	23
HD0126	1380	24
HD0026	1410	25
HD0027	1440	26
HD0028	1470	27
HD0029	1500	28
HD0030	1530	29
HD0031	1560	30
HD0032	1590	31
HD0033	1620	32
HD0034	1650	33
HD0035	1680	34
HD0036	1710	35
HD0038	1770	36
HD0041	1860	37
HD0042	1890	38
HD0043	1920	39
HD0048	2070	40
HD0051	2160	41
HD0053	2220	42
HD0054	2250	43
HD0055	2280	44
HD0056	2310	45
HD0057	2340	46
HD0060	2430	47
HD0063	2520	48
HD0066	2610	49
HD0067	2640	50
HD0068	2670	51
HD0069	2700	52
HD0070	2730	53
HD0071	2760	54
HD0022	2760	55
HD0072	2790	56
HD0073	2820	57
HD0074	2850	58
HD0023	2850	59
HD0075	2880	60
HD0025	2940	61
HD0078	2970	62
