sample_name	annotated time/stage	Rank
ML0021	0	1
ML0001	0	2
ML0022	60	3
ML0042	60	4
ML0002	60	5
ML0043	120	6
ML0023	120	7
ML0003	120	8
ML0024	180	9
ML0044	180	10
ML0004	180	11
ML0025	240	12
ML0045	240	13
ML0046	270	14
ML0026	270	15
ML0006	270	16
ML0047	300	17
ML0007	300	18
ML0027	300	19
ML0008	330	20
ML0029	360	21
ML0049	360	22
ML0009	360	23
ML0030	390	24
ML0050	390	25
ML0010	390	26
ML0011	420	27
ML0051	420	28
ML0031	420	29
ML0032	450	30
ML0052	450	31
ML0012	450	32
ML0053	480	33
ML0033	480	34
ML0013	480	35
ML0054	510	36
ML0014	510	37
ML0055	540	38
ML0035	540	39
ML0015	540	40
ML0056	600	41
ML0036	600	42
ML0057	660	43
ML0037	660	44
ML0017	660	45
ML0058	720	46
ML0038	720	47
ML0059	780	48
ML0019	780	49
ML0039	780	50
ML0020	1200	51
ML0060	1200	52
ML0040	1200	53
