sample_name	annotated time/stage	Rank
NV0050	-20	1
NV0002	20	2
NV0003	40	3
NV0004	80	4
NV0007	200	5
NV0008	220	6
NV0012	400	7
NV0016	560	8
NV0019	680	9
NV0022	800	10
NV0023	840	11
NV0024	880	12
NV0026	960	13
NV0028	1060	14
NV0029	1120	15
NV0030	1160	16
NV0031	1200	17
NV0032	1240	18
NV0033	1280	19
NV0034	1320	20
NV0035	1360	21
NV0036	1400	22
NV0037	1440	23
NV0038	1480	24
NV0039	1520	25
NV0040	1560	26
NV0041	1600	27
NV0042	1640	28
NV0044	1720	29
NV0045	1760	30
NV0047	1840	31
NV0048	1880	32
NV0049	1920	33
NV0051	1960	34
NV0052	2000	35
NV0053	2040	36
NV0054	2080	37
NV0055	2120	38
NV0058	2240	39
NV0059	2280	40
NV0060	2320	41
NV0062	2400	42
NV0063	2440	43
NV0121	2440	44
NV0064	2480	45
NV0120	2480	46
NV0065	2520	47
NV0066	2560	48
NV0118	2560	49
NV0067	2600	50
NV0117	2600	51
NV0116	2640	52
NV0069	2680	53
NV0070	2720	54
NV0114	2720	55
NV0071	2760	56
NV0113	2760	57
NV0072	2800	58
NV0073	2840	59
NV0110	2880	60
NV0109	2920	61
NV0108	2960	62
NV0107	3000	63
NV0105	3080	64
NV0104	3120	65
NV0102	3200	66
NV0100	3280	67
NV0099	3320	68
NV0098	3360	69
NV0097	3400	70
NV0095	3480	71
NV0094	3520	72
NV0093	3560	73
NV0092	3600	74
NV0091	3640	75
NV0090	3680	76
NV0089	3720	77
NV0088	3760	78
NV0087	3800	79
NV0084	3920	80
NV0079	4120	81
NV0078	4160	82
NV0075	4280	83
