sample_name	annotated time/stage	Rank
PT0001	60	1
PT0003	180	2
PT0004	240	3
PT0005	300	4
PT0006	360	5
PT0007	420	6
PT0008	480	7
PT0009	540	8
PT0010	600	9
PT0012	720	10
PT0013	780	11
PT0014	840	12
PT0015	900	13
PT0016	960	14
PT0017	1020	15
PT0018	1080	16
PT0019	1140	17
PT0020	1200	18
PT0024	1500	19
PT0025	1560	20
PT0026	1620	21
PT0027	1680	22
PT0028	1740	23
PT0029	1800	24
PT0030	1860	25
PT0031	1920	26
PT0032	1980	27
PT0033	2040	28
PT0034	2100	29
PT0035	2160	30
PT0036	2220	31
PT0037	2280	32
PT0038	2340	33
PT0039	2400	34
PT0040	2460	35
PT0041	2520	36
PT0042	2580	37
PT0043	2640	38
PT0044	2700	39
PT0045	2760	40
PT0046	2820	41
PT0048	2940	42
PT0049	3000	43
PT0050	3060	44
PT0051	3120	45
PT0052	3180	46
PT0053	3240	47
PT0054	3300	48
PT0056	3420	49
PT0057	3480	50
PT0058	3540	51
PT0059	3600	52
PT0060	3660	53
PT0062	3780	54
PT0063	3840	55
PT0064	3900	56
PT0065	3960	57
PT0066	4020	58
PT0067	4080	59
PT0068	4140	60
PT0069	4200	61
PT0070	4260	62
PT0072	4380	63
PT0073	4440	64
PT0074	4500	65
PT0075	4560	66
PT0076	4620	67
PT0077	4680	68
PT0078	4740	69
PT0079	4800	70
PT0080	4860	71
PT0081	4920	72
PT0082	4980	73
PT0084	5100	74
PT0087	5280	75
PT0088	5340	76
PT0090	5460	77
PT0091	5520	78
PT0092	5580	79
PT0093	5640	80
