sample_name	annotated time/stage	Rank
SU0005	200	1
SU0008	320	2
SU_NC0003	360	3
SU0052	360	4
SU0054	440	5
SU0055	480	6
SU0011	760	7
SU0060	1000	8
SU0064	1160	9
SU_NC0008	1200	10
SU0066	1240	11
SU0017	1280	12
SU0067	1280	13
SU0018	1320	14
SU0020	1400	15
SU0021	1440	16
SU0023	1520	17
SU0024	1560	18
SU0025	1600	19
SU0068	1640	20
SU_NC0011	1680	21
SU0070	1720	22
SU0071	1760	23
SU0072	1800	24
SU0074	1880	25
SU0026	1960	26
SU0027	2000	27
SU0076	2040	28
SU0077	2080	29
SU0078	2120	30
SU0079	2160	31
SU0080	2200	32
SU0081	2240	33
SU0082	2280	34
SU0083	2320	35
SU0028	2360	36
SU0031	2480	37
SU0033	2560	38
SU0034	2600	39
SU0035	2640	40
SU0085	2720	41
SU0086	2760	42
SU0088	2840	43
SU0089	2880	44
SU0036	3000	45
SU0038	3080	46
SU0040	3160	47
SU0043	3280	48
SU0092	3320	49
SU0093	3360	50
SU0094	3400	51
SU0095	3440	52
SU0096	3480	53
SU0097	3520	54
SU0098	3560	55
SU0099	3600	56
SU0100	3640	57
SU0103	3840	58
SU0108	4040	59
SU0109	4080	60
SU0110	4120	61
SU0111	4160	62
SU0128	4200	63
SU0114	4280	64
SU0116	4360	65
SU0122	4440	66
SU0124	4520	67
SU0125	4560	68
