sample_name	annotated time/stage	Rank
ZF0001	40	1
ZF0003	120	2
ZF0004	160	3
ZF0006	240	4
ZF0007	280	5
ZF0013	520	6
ZF0015	600	7
ZF0016	640	8
ZF0017	680	9
ZF0018	720	10
ZF0019	760	11
ZF0020	800	12
ZF0022	880	13
ZF0023	920	14
ZF0024	960	15
ZF0025	1000	16
ZF0026	1040	17
ZF0027	1080	18
ZF0028	1120	19
ZF0029	1160	20
ZF0030	1200	21
ZF0031	1240	22
ZF0032	1280	23
ZF0033	1320	24
ZF0034	1360	25
ZF0036	1440	26
ZF0037	1480	27
ZF0038	1520	28
ZF0039	1560	29
ZF0040	1600	30
ZF0041	1640	31
ZF0042	1680	32
ZF0043	1720	33
ZF0044	1760	34
ZF0045	1800	35
ZF0046	1840	36
ZF0047	1880	37
ZF0048	1920	38
ZF0049	1960	39
ZF0050	2000	40
ZF0051	2040	41
ZF0052	2080	42
ZF0053	2120	43
ZF0054	2160	44
ZF0055	2200	45
ZF0056	2240	46
ZF0057	2280	47
ZF0058	2320	48
ZF0059	2360	49
ZF0060	2400	50
ZF0061	2440	51
ZF0062	2480	52
ZF0063	2520	53
ZF0064	2560	54
ZF0065	2600	55
ZF0068	2720	56
ZF0069	2760	57
ZF0070	2800	58
ZF0071	2840	59
ZF0072	2880	60
ZF0073	2920	61
ZF0074	2960	62
ZF0076	3040	63
ZF0077	3080	64
ZF0078	3120	65
ZF0079	3160	66
ZF0081	3240	67
ZF0082	3280	68
ZF0083	3320	69
ZF0084	3360	70
ZF0085	3400	71
ZF0086	3440	72
ZF0087	3480	73
ZF0088	3520	74
ZF0089	3560	75
ZF0090	3600	76
ZF0092	3680	77
ZF0093	3720	78
ZF0094	3760	79
ZF0095	3800	80
ZF0097	3880	81
ZF0098	3920	82
ZF0099	3960	83
ZF0101	4040	84
ZF0102	4080	85
ZF0103	4120	86
ZF0104	4160	87
ZF0105	4200	88
