GO.ID	UNIgene	V3
1	GO:0044782	Nk52_evm10s106	cilium organization
2	GO:0044782	Nk52_evm10s303	cilium organization
3	GO:0044782	Nk52_evm114s226	cilium organization
4	GO:0044782	Nk52_evm11s710	cilium organization
5	GO:0044782	Nk52_evm121s352	cilium organization
6	GO:0044782	Nk52_evm12s1967	cilium organization
7	GO:0044782	Nk52_evm12s2118	cilium organization
8	GO:0044782	Nk52_evm13s1360	cilium organization
9	GO:0044782	Nk52_evm13s1401	cilium organization
10	GO:0044782	Nk52_evm13s1992	cilium organization
11	GO:0044782	Nk52_evm13s226	cilium organization
12	GO:0044782	Nk52_evm13s265	cilium organization
13	GO:0044782	Nk52_evm13s375	cilium organization
14	GO:0044782	Nk52_evm14s1992	cilium organization
15	GO:0044782	Nk52_evm14s224	cilium organization
16	GO:0044782	Nk52_evm14s242	cilium organization
17	GO:0044782	Nk52_evm14s2578	cilium organization
18	GO:0044782	Nk52_evm14s263	cilium organization
19	GO:0044782	Nk52_evm15s1073	cilium organization
20	GO:0044782	Nk52_evm15s222	cilium organization
21	GO:0044782	Nk52_evm16s1129	cilium organization
22	GO:0044782	Nk52_evm17s228	cilium organization
23	GO:0044782	Nk52_evm17s2635	cilium organization
24	GO:0044782	Nk52_evm17s280	cilium organization
25	GO:0044782	Nk52_evm17s745	cilium organization
26	GO:0044782	Nk52_evm18s152	cilium organization
27	GO:0044782	Nk52_evm18s1869	cilium organization
28	GO:0044782	Nk52_evm19s1869	cilium organization
29	GO:0044782	Nk52_evm19s2011	cilium organization
30	GO:0044782	Nk52_evm19s239	cilium organization
31	GO:0044782	Nk52_evm1s106	cilium organization
32	GO:0044782	Nk52_evm1s2032	cilium organization
33	GO:0044782	Nk52_evm1s236	cilium organization
34	GO:0044782	Nk52_evm1s318	cilium organization
35	GO:0044782	Nk52_evm1s351	cilium organization
36	GO:0044782	Nk52_evm1s588	cilium organization
37	GO:0044782	Nk52_evm22s289	cilium organization
38	GO:0044782	Nk52_evm23s242	cilium organization
39	GO:0044782	Nk52_evm23s243	cilium organization
40	GO:0044782	Nk52_evm24s1360	cilium organization
41	GO:0044782	Nk52_evm24s239	cilium organization
42	GO:0044782	Nk52_evm24s490	cilium organization
43	GO:0044782	Nk52_evm25s1129	cilium organization
44	GO:0044782	Nk52_evm25s2340	cilium organization
45	GO:0044782	Nk52_evm26s232	cilium organization
46	GO:0044782	Nk52_evm27s123	cilium organization
47	GO:0044782	Nk52_evm27s745	cilium organization
48	GO:0044782	Nk52_evm28s1073	cilium organization
49	GO:0044782	Nk52_evm28s229	cilium organization
50	GO:0044782	Nk52_evm28s485	cilium organization
51	GO:0044782	Nk52_evm28s78	cilium organization
52	GO:0044782	Nk52_evm2s211	cilium organization
53	GO:0044782	Nk52_evm2s2578	cilium organization
54	GO:0044782	Nk52_evm2s322	cilium organization
55	GO:0044782	Nk52_evm2s385	cilium organization
56	GO:0044782	Nk52_evm2s403	cilium organization
57	GO:0044782	Nk52_evm2s604	cilium organization
58	GO:0044782	Nk52_evm32s2612	cilium organization
59	GO:0044782	Nk52_evm33s1524	cilium organization
60	GO:0044782	Nk52_evm35s1129	cilium organization
61	GO:0044782	Nk52_evm35s294	cilium organization
62	GO:0044782	Nk52_evm38s147	cilium organization
63	GO:0044782	Nk52_evm38s292	cilium organization
64	GO:0044782	Nk52_evm39s152	cilium organization
65	GO:0044782	Nk52_evm39s621	cilium organization
66	GO:0044782	Nk52_evm3s328	cilium organization
67	GO:0044782	Nk52_evm3s343	cilium organization
68	GO:0044782	Nk52_evm40s207	cilium organization
69	GO:0044782	Nk52_evm42s1524	cilium organization
70	GO:0044782	Nk52_evm42s230	cilium organization
71	GO:0044782	Nk52_evm44s2039	cilium organization
72	GO:0044782	Nk52_evm46s221	cilium organization
73	GO:0044782	Nk52_evm46s359	cilium organization
74	GO:0044782	Nk52_evm49s2657	cilium organization
75	GO:0044782	Nk52_evm49s32	cilium organization
76	GO:0044782	Nk52_evm4s352	cilium organization
77	GO:0044782	Nk52_evm4s805	cilium organization
78	GO:0044782	Nk52_evm50s78	cilium organization
79	GO:0044782	Nk52_evm52s78	cilium organization
80	GO:0044782	Nk52_evm53s240	cilium organization
81	GO:0044782	Nk52_evm54s1992	cilium organization
82	GO:0044782	Nk52_evm5s1178	cilium organization
83	GO:0044782	Nk52_evm5s169	cilium organization
84	GO:0044782	Nk52_evm5s2152	cilium organization
85	GO:0044782	Nk52_evm5s268	cilium organization
86	GO:0044782	Nk52_evm5s352	cilium organization
