Orthogroup	Sarc4_TRX
OG0000000	Sarc4_g10018T
OG0000000	Sarc4_g10019T
OG0000000	Sarc4_g10032T
OG0000000	Sarc4_g10076T
OG0000000	Sarc4_g10077T
OG0000000	Sarc4_g10079T
OG0000000	Sarc4_g10081T
OG0000000	Sarc4_g1009T
OG0000000	Sarc4_g10149T
OG0000000	Sarc4_g10182T
OG0000000	Sarc4_g10207T
OG0000000	Sarc4_g10208T
OG0000000	Sarc4_g10237T
OG0000000	Sarc4_g1024T
OG0000000	Sarc4_g10253T
OG0000000	Sarc4_g10255T
OG0000000	Sarc4_g10256T
OG0000000	Sarc4_g10257T
OG0000000	Sarc4_g1026T
OG0000000	Sarc4_g10283T
OG0000000	Sarc4_g10284T
OG0000000	Sarc4_g10285T
OG0000000	Sarc4_g10336T
OG0000000	Sarc4_g10337T
OG0000000	Sarc4_g10356T
OG0000000	Sarc4_g10357T
OG0000000	Sarc4_g10359T
OG0000000	Sarc4_g10360T
OG0000000	Sarc4_g10377T
OG0000000	Sarc4_g10446T
OG0000000	Sarc4_g10448T
OG0000000	Sarc4_g10449T
OG0000000	Sarc4_g10453T
OG0000000	Sarc4_g10503T
OG0000000	Sarc4_g10530T
OG0000000	Sarc4_g10533T
OG0000000	Sarc4_g10566T
OG0000000	Sarc4_g10570T
OG0000000	Sarc4_g1063T
OG0000000	Sarc4_g1067T
OG0000000	Sarc4_g10691T
OG0000000	Sarc4_g10692T
OG0000000	Sarc4_g10724T
OG0000000	Sarc4_g10725T
OG0000000	Sarc4_g10751T
OG0000000	Sarc4_g1084T
OG0000000	Sarc4_g1085T
OG0000000	Sarc4_g1086T
OG0000000	Sarc4_g10912T
OG0000000	Sarc4_g10914T
OG0000000	Sarc4_g11008T
OG0000000	Sarc4_g11010T
OG0000000	Sarc4_g11011T
OG0000000	Sarc4_g11012T
OG0000000	Sarc4_g11041T
OG0000000	Sarc4_g11043T
OG0000000	Sarc4_g11083T
OG0000000	Sarc4_g11084T
OG0000000	Sarc4_g11085T
OG0000000	Sarc4_g11087T
OG0000000	Sarc4_g11194T
OG0000000	Sarc4_g11195T
OG0000000	Sarc4_g1119T
OG0000000	Sarc4_g1120T
OG0000000	Sarc4_g11242T
OG0000000	Sarc4_g11244T
OG0000000	Sarc4_g11245T
OG0000000	Sarc4_g11331T
OG0000000	Sarc4_g11336T
OG0000000	Sarc4_g11343T
OG0000000	Sarc4_g11344T
OG0000000	Sarc4_g11345T
OG0000000	Sarc4_g11346T
OG0000000	Sarc4_g11351T
OG0000000	Sarc4_g11352T
OG0000000	Sarc4_g11353T
OG0000000	Sarc4_g11354T
OG0000000	Sarc4_g11355T
OG0000000	Sarc4_g11356T
OG0000000	Sarc4_g11363T
OG0000000	Sarc4_g11366T
OG0000000	Sarc4_g11416T
OG0000000	Sarc4_g11417T
OG0000000	Sarc4_g11419T
OG0000000	Sarc4_g11422T
OG0000000	Sarc4_g11423T
OG0000000	Sarc4_g11424T
OG0000000	Sarc4_g11427T
OG0000000	Sarc4_g1144T
OG0000000	Sarc4_g11459T
OG0000000	Sarc4_g1147T
OG0000000	Sarc4_g11487T
OG0000000	Sarc4_g11489T
OG0000000	Sarc4_g1148T
OG0000000	Sarc4_g11490T
OG0000000	Sarc4_g11509T
OG0000000	Sarc4_g115T
OG0000000	Sarc4_g11637T
OG0000000	Sarc4_g1166T
OG0000000	Sarc4_g11719T
OG0000000	Sarc4_g11720T
OG0000000	Sarc4_g11728T
OG0000000	Sarc4_g11730T
OG0000000	Sarc4_g11759T
OG0000000	Sarc4_g11794T
OG0000000	Sarc4_g117T
OG0000000	Sarc4_g11858T
OG0000000	Sarc4_g11859T
OG0000000	Sarc4_g11894T
OG0000000	Sarc4_g11896T
OG0000000	Sarc4_g11897T
OG0000000	Sarc4_g11939T
OG0000000	Sarc4_g11940T
OG0000000	Sarc4_g12031T
OG0000000	Sarc4_g12032T
OG0000000	Sarc4_g12034T
OG0000000	Sarc4_g12136T
OG0000000	Sarc4_g12149T
OG0000000	Sarc4_g12152T
OG0000000	Sarc4_g12153T
OG0000000	Sarc4_g12155T
OG0000000	Sarc4_g12170T
OG0000000	Sarc4_g12171T
OG0000000	Sarc4_g12172T
OG0000000	Sarc4_g12176T
OG0000000	Sarc4_g12177T
OG0000000	Sarc4_g12179T
OG0000000	Sarc4_g12241T
OG0000000	Sarc4_g12245T
OG0000000	Sarc4_g12246T
OG0000000	Sarc4_g12313T
OG0000000	Sarc4_g12354T
OG0000000	Sarc4_g12408T
OG0000000	Sarc4_g1240T
OG0000000	Sarc4_g1242T
OG0000000	Sarc4_g12436T
OG0000000	Sarc4_g12438T
OG0000000	Sarc4_g12440T
OG0000000	Sarc4_g12441T
OG0000000	Sarc4_g12442T
OG0000000	Sarc4_g1247T
OG0000000	Sarc4_g12564T
OG0000000	Sarc4_g12627T
OG0000000	Sarc4_g12629T
OG0000000	Sarc4_g12638T
OG0000000	Sarc4_g12639T
OG0000000	Sarc4_g12641T
OG0000000	Sarc4_g12674T
OG0000000	Sarc4_g12675T
OG0000000	Sarc4_g12690T
OG0000000	Sarc4_g12691T
OG0000000	Sarc4_g12743T
OG0000000	Sarc4_g12749T
OG0000000	Sarc4_g12750T
OG0000000	Sarc4_g12770T
OG0000000	Sarc4_g13115T
OG0000000	Sarc4_g1316T
OG0000000	Sarc4_g1317T
OG0000000	Sarc4_g13206T
OG0000000	Sarc4_g13208T
OG0000000	Sarc4_g1320T
OG0000000	Sarc4_g13212T
OG0000000	Sarc4_g13214T
OG0000000	Sarc4_g13271T
OG0000000	Sarc4_g13272T
OG0000000	Sarc4_g13345T
OG0000000	Sarc4_g13346T
OG0000000	Sarc4_g13347T
OG0000000	Sarc4_g13367T
OG0000000	Sarc4_g13369T
OG0000000	Sarc4_g13394T
OG0000000	Sarc4_g13397T
OG0000000	Sarc4_g13408T
OG0000000	Sarc4_g13409T
OG0000000	Sarc4_g13410T
OG0000000	Sarc4_g13411T
OG0000000	Sarc4_g13412T
OG0000000	Sarc4_g13422T
OG0000000	Sarc4_g13454T
OG0000000	Sarc4_g13460T
OG0000000	Sarc4_g13461T
OG0000000	Sarc4_g13487T
OG0000000	Sarc4_g13506T
OG0000000	Sarc4_g13507T
OG0000000	Sarc4_g13521T
OG0000000	Sarc4_g13536T
OG0000000	Sarc4_g13537T
OG0000000	Sarc4_g13555T
OG0000000	Sarc4_g1356T
OG0000000	Sarc4_g13581T
OG0000000	Sarc4_g13582T
OG0000000	Sarc4_g13596T
OG0000000	Sarc4_g13597T
OG0000000	Sarc4_g13598T
OG0000000	Sarc4_g13601T
OG0000000	Sarc4_g13602T
OG0000000	Sarc4_g13603T
OG0000000	Sarc4_g13604T
OG0000000	Sarc4_g13605T
OG0000000	Sarc4_g13606T
OG0000000	Sarc4_g13607T
OG0000000	Sarc4_g13608T
OG0000000	Sarc4_g13609T
OG0000000	Sarc4_g13624T
OG0000000	Sarc4_g13627T
OG0000000	Sarc4_g13701T
OG0000000	Sarc4_g13716T
OG0000000	Sarc4_g13764T
OG0000000	Sarc4_g13765T
OG0000000	Sarc4_g13766T
OG0000000	Sarc4_g13772T
OG0000000	Sarc4_g13773T
OG0000000	Sarc4_g13778T
OG0000000	Sarc4_g1378T
OG0000000	Sarc4_g13835T
OG0000000	Sarc4_g1398T
OG0000000	Sarc4_g1401T
OG0000000	Sarc4_g14044T
OG0000000	Sarc4_g14047T
OG0000000	Sarc4_g14048T
OG0000000	Sarc4_g1406T
OG0000000	Sarc4_g1408T
OG0000000	Sarc4_g14150T
OG0000000	Sarc4_g14156T
OG0000000	Sarc4_g14158T
OG0000000	Sarc4_g14329T
OG0000000	Sarc4_g14331T
OG0000000	Sarc4_g1438T
OG0000000	Sarc4_g1439T
OG0000000	Sarc4_g14431T
OG0000000	Sarc4_g14433T
OG0000000	Sarc4_g14450T
OG0000000	Sarc4_g14451T
OG0000000	Sarc4_g14452T
OG0000000	Sarc4_g14455T
OG0000000	Sarc4_g144T
OG0000000	Sarc4_g14553T
OG0000000	Sarc4_g14554T
OG0000000	Sarc4_g145T
OG0000000	Sarc4_g14626T
OG0000000	Sarc4_g14678T
OG0000000	Sarc4_g146T
OG0000000	Sarc4_g14703T
OG0000000	Sarc4_g14927T
OG0000000	Sarc4_g14945T
OG0000000	Sarc4_g14948T
