Orthogroup	ZF_TRX
OG0000000	ENSDARG00000056204.p3
OG0000000	ENSDARG00000068539.p1
OG0000000	ENSDARG00000074973.p1
OG0000000	ENSDARG00000075992.p1
OG0000000	ENSDARG00000086495.p1
OG0000000	ENSDARG00000086955.p1
OG0000000	ENSDARG00000089082.p1
OG0000000	ENSDARG00000089111.p1
OG0000000	ENSDARG00000089797.p1
OG0000009	ENSDARG00000004105.p1
OG0000009	ENSDARG00000004378.p1
OG0000009	ENSDARG00000004433.p1
OG0000009	ENSDARG00000005414.p1
OG0000009	ENSDARG00000006468.p1
OG0000009	ENSDARG00000007783.p1
OG0000009	ENSDARG00000008107.p1
OG0000009	ENSDARG00000008186.p1
OG0000009	ENSDARG00000011370.p2
OG0000009	ENSDARG00000011449.p1
OG0000009	ENSDARG00000011948.p4
OG0000009	ENSDARG00000012196.p1
OG0000009	ENSDARG00000013841.p1
OG0000009	ENSDARG00000014709.p1
OG0000009	ENSDARG00000015068.p1
OG0000009	ENSDARG00000015224.p1
OG0000009	ENSDARG00000015752.p1
OG0000009	ENSDARG00000017565.p1
OG0000009	ENSDARG00000017947.p1
OG0000009	ENSDARG00000018206.p1
OG0000009	ENSDARG00000022668.p1
OG0000009	ENSDARG00000025319.p1
OG0000009	ENSDARG00000027807.p1
OG0000009	ENSDARG00000028663.p1
OG0000009	ENSDARG00000031715.p1
OG0000009	ENSDARG00000034434.p1
OG0000009	ENSDARG00000035187.p1
OG0000009	ENSDARG00000038059.p1
OG0000009	ENSDARG00000039893.p1
OG0000009	ENSDARG00000040258.p1
OG0000009	ENSDARG00000041190.p2
OG0000009	ENSDARG00000043361.p1
OG0000009	ENSDARG00000055305.p1
OG0000009	ENSDARG00000058647.p1
OG0000009	ENSDARG00000059282.p2
OG0000009	ENSDARG00000059956.p1
OG0000009	ENSDARG00000062261.p1
OG0000009	ENSDARG00000067996.p1
OG0000009	ENSDARG00000069433.p1
OG0000009	ENSDARG00000070805.p1
OG0000009	ENSDARG00000070903.p1
OG0000009	ENSDARG00000071524.p1
OG0000009	ENSDARG00000074262.p1
OG0000009	ENSDARG00000074670.p1
OG0000009	ENSDARG00000074837.p1
OG0000009	ENSDARG00000075369.p1
OG0000009	ENSDARG00000075716.p1
OG0000009	ENSDARG00000075853.p1
OG0000009	ENSDARG00000076399.p1
OG0000009	ENSDARG00000079755.p1
OG0000009	ENSDARG00000086407.p1
OG0000009	ENSDARG00000086680.p1
OG0000009	ENSDARG00000088202.p1
OG0000009	ENSDARG00000088629.p1
OG0000009	ENSDARG00000090646.p1
OG0000012	ENSDARG00000000103.p1
OG0000012	ENSDARG00000001014.p1
OG0000012	ENSDARG00000001993.p1
OG0000012	ENSDARG00000006281.p1
OG0000012	ENSDARG00000006892.p1
OG0000012	ENSDARG00000009133.p1
OG0000012	ENSDARG00000009782.p1
OG0000012	ENSDARG00000010186.p1
OG0000012	ENSDARG00000020924.p1
OG0000012	ENSDARG00000025218.p1
OG0000012	ENSDARG00000035437.p1
OG0000012	ENSDARG00000035438.p18
OG0000012	ENSDARG00000036104.p1
OG0000012	ENSDARG00000036179.p1
OG0000012	ENSDARG00000036863.p1
OG0000012	ENSDARG00000044441.p1
OG0000012	ENSDARG00000044632.p1
