Orthogroup	Sdes_TRX
OG0000000	Sdes_comp16515_c0_seq1m5832
OG0000000	Sdes_comp16515_c0_seq2m5833
OG0000000	Sdes_comp18807_c0_seq1m9223
OG0000000	Sdes_comp20809_c0_seq1m17168
OG0000000	Sdes_comp20875_c0_seq1m17842
OG0000000	Sdes_comp20875_c0_seq4m17844
OG0000000	Sdes_comp21265_c0_seq1m19910
OG0000009	Sdes_comp10436_c0_seq1m2108
OG0000009	Sdes_comp10437_c0_seq1m2110
OG0000009	Sdes_comp15099_c0_seq1m3900
OG0000009	Sdes_comp15396_c0_seq1m4277
OG0000009	Sdes_comp16518_c0_seq2m5835
OG0000009	Sdes_comp19535_c0_seq1m11129
OG0000009	Sdes_comp20338_c0_seq1m14072
OG0000009	Sdes_comp21999_c0_seq1m20540
OG0000012	Sdes_comp10101_c0_seq1m1704
OG0000012	Sdes_comp10846_c0_seq1m2501
OG0000012	Sdes_comp13700_c0_seq1m3275
OG0000012	Sdes_comp14397_c0_seq1m3471
OG0000012	Sdes_comp17333_c0_seq1m6536
OG0000012	Sdes_comp17796_c0_seq1m7057
OG0000012	Sdes_comp18757_c0_seq1m9148
OG0000012	Sdes_comp19978_c0_seq2m12552
OG0000012	Sdes_comp19978_c0_seq3m12554
OG0000012	Sdes_comp19978_c0_seq4m12556
OG0000012	Sdes_comp22027_c0_seq1m20562
OG0000012	Sdes_comp9827_c0_seq1m1365
OG0000013	Sdes_comp14858_c0_seq1m3594
OG0000013	Sdes_comp15469_c0_seq1m4376
OG0000013	Sdes_comp15985_c0_seq1m5149
OG0000013	Sdes_comp16773_c0_seq1m6024
OG0000013	Sdes_comp17435_c0_seq1m6658
OG0000013	Sdes_comp17738_c0_seq1m7002
OG0000013	Sdes_comp18246_c0_seq1m7865
OG0000013	Sdes_comp18410_c0_seq1m8255
OG0000013	Sdes_comp21425_c0_seq1m20055
OG0000013	Sdes_comp21426_c0_seq1m20061
OG0000013	Sdes_comp21461_c0_seq1m20092
OG0000013	Sdes_comp8860_c0_seq1m251
OG0000013	Sdes_comp8999_c0_seq1m416
OG0000013	Sdes_comp9000_c0_seq1m420
OG0000013	Sdes_comp9647_c0_seq1m1142
