Orthogroup	Nk52Cperk_TRX
OG0000000	Nk52_evm1s1017
OG0000000	Nk52_evm1s1054
OG0000000	Nk52_evm1s1069
OG0000000	Nk52_evm1s110
OG0000000	Nk52_evm1s1146
OG0000000	Nk52_evm1s1186
OG0000000	Nk52_evm1s1205
OG0000000	Nk52_evm1s1226
OG0000000	Nk52_evm1s130
OG0000000	Nk52_evm1s1439
OG0000000	Nk52_evm1s1447
OG0000000	Nk52_evm1s1509
OG0000000	Nk52_evm1s1641
OG0000000	Nk52_evm1s1687
OG0000000	Nk52_evm1s1777
OG0000000	Nk52_evm1s1817
OG0000000	Nk52_evm1s1902
OG0000000	Nk52_evm1s197
OG0000000	Nk52_evm1s2195
OG0000000	Nk52_evm1s220
OG0000000	Nk52_evm1s2210
OG0000000	Nk52_evm1s2327
OG0000000	Nk52_evm1s2408
OG0000000	Nk52_evm1s2410
OG0000000	Nk52_evm1s2535
OG0000000	Nk52_evm1s2541
OG0000000	Nk52_evm1s2637
OG0000000	Nk52_evm1s2642
OG0000000	Nk52_evm1s277
OG0000000	Nk52_evm1s34
OG0000000	Nk52_evm1s429
OG0000000	Nk52_evm1s443
OG0000000	Nk52_evm1s464
OG0000000	Nk52_evm1s466
OG0000000	Nk52_evm1s480
OG0000000	Nk52_evm1s577
OG0000000	Nk52_evm1s610
OG0000000	Nk52_evm1s643
OG0000000	Nk52_evm1s687
OG0000000	Nk52_evm1s703
OG0000000	Nk52_evm1s775
OG0000000	Nk52_evm1s833
OG0000000	Nk52_evm1s845
OG0000000	Nk52_evm1s95
OG0000000	Nk52_evm1s950
OG0000000	Nk52_evm1s984
OG0000000	Nk52_evm1s988
OG0000000	Nk52_evm21s218
OG0000000	Nk52_evm28s2426
OG0000000	Nk52_evm2s1558
OG0000000	Nk52_evm2s161
OG0000000	Nk52_evm2s1954
OG0000000	Nk52_evm32s1524
OG0000000	Nk52_evm3s272
OG0000000	Nk52_evm3s362
OG0000000	Nk52_evm41s1485
OG0000000	Nk52_evm53s2192
OG0000009	Nk52_evm11s1810
OG0000009	Nk52_evm11s2426
OG0000009	Nk52_evm13s16
OG0000009	Nk52_evm14s370
OG0000009	Nk52_evm43s2152
OG0000009	Nk52_evm45s78
OG0000012	Nk52_evm13s167
OG0000012	Nk52_evm16s62
OG0000012	Nk52_evm18s485
OG0000012	Nk52_evm21s156
OG0000012	Nk52_evm35s1569
OG0000012	Nk52_evm36s2531
OG0000012	Nk52_evm70s215
OG0000012	Nk52_evm7s212
OG0000012	Nk52_evm80s151
OG0000013	Nk52_evm107s352
OG0000013	Nk52_evm13s1444
OG0000013	Nk52_evm13s2011
OG0000013	Nk52_evm16s156
OG0000013	Nk52_evm1s1607
OG0000013	Nk52_evm1s338
OG0000013	Nk52_evm21s1400
OG0000013	Nk52_evm26s232
OG0000013	Nk52_evm27s152
OG0000013	Nk52_evm27s243
OG0000013	Nk52_evm2s805
OG0000013	Nk52_evm35s2579
OG0000013	Nk52_evm3s2496
OG0000013	Nk52_evm43s2039
OG0000013	Nk52_evm51s230
OG0000013	Nk52_evm52s78
OG0000013	Nk52_evm5s1178
OG0000013	Nk52_evm61s152
OG0000013	Nk52_evm65s226
OG0000013	Nk52_evm73s745
OG0000013	Nk52_evm83s215
OG0000015	Nk52_evm26s229
OG0000015	Nk52_evm27s229
OG0000016	Nk52_evm10s62
OG0000016	Nk52_evm135s226
OG0000016	Nk52_evm14s221
OG0000016	Nk52_evm15s216
OG0000016	Nk52_evm16s1485
OG0000016	Nk52_evm16s2402
OG0000016	Nk52_evm16s48
OG0000016	Nk52_evm17s241
OG0000016	Nk52_evm18s1705
OG0000016	Nk52_evm21s1916
OG0000016	Nk52_evm21s2085
OG0000016	Nk52_evm21s2474
OG0000016	Nk52_evm22s236
OG0000016	Nk52_evm22s2474
OG0000016	Nk52_evm22s564
OG0000016	Nk52_evm23s234
OG0000016	Nk52_evm24s2449
OG0000016	Nk52_evm24s367
OG0000016	Nk52_evm25s355
OG0000016	Nk52_evm26s210
OG0000016	Nk52_evm29s745
OG0000016	Nk52_evm2s319
OG0000016	Nk52_evm30s238
OG0000016	Nk52_evm32s2325
OG0000016	Nk52_evm35s2340
OG0000016	Nk52_evm36s1020
OG0000016	Nk52_evm36s1763
OG0000016	Nk52_evm36s212
OG0000016	Nk52_evm3s2474
OG0000016	Nk52_evm3s319
OG0000016	Nk52_evm41s2309
OG0000016	Nk52_evm42s217
OG0000016	Nk52_evm48s296
OG0000016	Nk52_evm4s533
OG0000016	Nk52_evm5s1524
OG0000016	Nk52_evm5s215
OG0000016	Nk52_evm68s1737
OG0000016	Nk52_evm6s161
