alpha-tubulin	Sarc4_g31031T	Nk52_evm149s226	OG0000135
beta-tubulin	Sarc4_g29856T	Nk52_evm41s1020	OG0000328
beta-tubulin	Sarc4_g29856T	Nk52_evm3s553	OG0000328
Arp2	Sarc4_g15431T	Nk52_evm23s152	OG0003838
Arp3	Sarc4_g29717T	Nk52_evm35s352	OG0001989
Arp4	Sarc4_g33563T	Nk52_evm6s293	OG0002552
Formin2	Sarc4_g18997T	Nk52_evm7s514	OG0000055
Formin4	Sarc4_g26707T	Nk52_evm5s366	OG0000055
Formin5	Sarc4_g32729T	Nk52_evm36s2568	OG0000055
Septin1	Sarc4_g12255T	Nk52_evm69s2192	OG0000131
Septin2	Sarc4_g19431T	Nk52_evm1s1772	OG0000131
Septin3	Sarc4_g20537T	Nk52_evm27s745	OG0000131
Septin4	Sarc4_g8850T	Nk52_evm27s745	OG0000131
Myosin_II	Sarc4_g23768T	Nk52_evm16s62	OG0000012
Cofilin/Twinstar	Sarc4_g6950T	Nk52_evm34s2612	OG0000608
Pinch	Sarc4_g2938T	Nk52_evm2s1128	OG0000052
Paxilin	Sarc4_g20792T	Nk52_evm18s1967	OG0000052
Vinculin/alpha-catenin	Sarc4_g11224T	Nk52_evm20s2474	OG0001153
alpha-actinin	Sarc4_g4850T	Nk52_evm8s128	OG0000701
Aardvark1	Sarc4_g24897T	Nk52_evm24s1671	OG0007303
Aardvark2	Sarc4_g24898T	Nk52_evm24s1671	OG0007303
Aardvark3	Sarc4_g33617T	Nk52_evm24s1671	OG0007303
Kinesin2	Sarc4_g14701T	Nk52_evm15s250	OG0000048
Kinesin3	Sarc4_g23312T	Nk52_evm4s343	OG0005978
Kinesin4	Sarc4_g23711T	Nk52_evm12s2635	OG0000048
Kinesin4	Sarc4_g23712T	Nk52_evm12s2635	OG0000048
Kinesin4	Sarc4_g23709T	Nk52_evm12s2635	OG0000048
Kinesin7	Sarc4_g29337T	Nk52_evm26s2612	OG0000048
Kinesin8	Sarc4_g29515T	Nk52_evm38s158	OG0000048
Kinesin9	Sarc4_g31878T	Nk52_evm15s913	OG0000048
Kinesin10	Sarc4_g8472T	Nk52_evm29s554	OG0000048
Kinesin10	Sarc4_g8473T	Nk52_evm29s554	OG0000048
Rho1	Sarc4_g28650T	Nk52_evm50s236	OG0000084
Rho2	Sarc4_g29101T	Nk52_evm3s358	OG0000084
Rho3	Sarc4_g32829T	Nk52_evm1s2634	OG0000084
Rho4	Sarc4_g5839T	Nk52_evm1s2634	OG0000084
Rab11_2	Sarc4_g2031T	Nk52_evm41s78	OG0000891
