Orthogroup	SP_TRX
OG0000000	NP_001018276.1
OG0000000	NP_001018800.2
OG0000000	NP_587955.1
OG0000000	NP_593347.1
OG0000000	NP_593385.2
OG0000000	NP_593984.1
OG0000000	NP_594156.1
OG0000000	NP_594409.1
OG0000000	NP_594897.1
OG0000000	NP_594898.2
OG0000000	NP_596839.1
OG0000009	NP_588016.1
OG0000012	NP_588114.1
OG0000012	NP_588492.1
OG0000012	NP_593816.1
OG0000012	NP_595402.1
OG0000012	NP_596233.1
OG0000013	NP_001342921.1
OG0000021	NP_594885.1
OG0000021	NP_594899.1
OG0000021	NP_594934.1
OG0000023	NP_593943.3
OG0000023	NP_594558.1
OG0000023	NP_594585.1
OG0000023	NP_595055.1
OG0000029	NP_587932.3
OG0000029	NP_593995.1
OG0000031	NP_001342995.1
OG0000031	NP_587921.1
OG0000031	NP_593607.1
OG0000031	NP_594393.1
OG0000031	NP_595581.1
OG0000031	NP_595616.1
OG0000031	NP_595739.1
OG0000038	NP_588376.1
OG0000038	NP_593307.1
OG0000038	NP_593404.1
OG0000038	NP_593534.2
OG0000038	NP_593874.1
OG0000038	NP_594821.1
OG0000038	NP_596106.1
OG0000038	NP_596657.1
OG0000040	NP_587826.1
OG0000040	NP_593329.1
OG0000040	NP_593372.1
OG0000040	NP_594179.1
OG0000040	NP_595926.1
OG0000040	NP_596181.1
OG0000040	NP_596213.1
OG0000045	NP_595205.1
OG0000045	NP_595588.1
OG0000048	NP_001342739.1
OG0000048	NP_594527.1
OG0000048	NP_594675.1
OG0000048	NP_595703.1
OG0000048	NP_596620.1
OG0000052	NP_596112.1
OG0000052	NP_596743.1
OG0000055	NP_588046.1
OG0000055	NP_592869.1
OG0000055	NP_594737.1
OG0000058	NP_587784.1
OG0000058	NP_593786.1
OG0000059	NP_587862.1
OG0000063	NP_594272.1
OG0000063	NP_595617.1
OG0000063	NP_596301.1
OG0000063	NP_596764.1
OG0000066	NP_588416.1
OG0000066	NP_593247.1
OG0000066	NP_594074.1
OG0000066	NP_594161.1
OG0000066	NP_594344.1
OG0000066	NP_595006.1
OG0000067	NP_588180.1
OG0000067	NP_594421.1
OG0000067	NP_595630.3
OG0000069	NP_593579.1
OG0000069	NP_595194.1
OG0000072	NP_595618.1
OG0000072	NP_595820.1
OG0000072	NP_596704.1
OG0000076	NP_596118.1
OG0000076	NP_596822.1
OG0000077	NP_593926.1
OG0000077	NP_594396.1
OG0000077	NP_594902.1
OG0000077	NP_595793.1
OG0000079	NP_594787.1
OG0000079	NP_595190.1
OG0000079	NP_595437.1
OG0000079	NP_595664.1
OG0000079	NP_596532.1
OG0000084	NP_001018257.1
OG0000084	NP_593536.1
OG0000084	NP_593631.1
OG0000084	NP_594490.1
OG0000084	NP_594569.1
OG0000086	NP_594152.1
OG0000086	NP_594871.1
OG0000086	NP_595756.1
OG0000086	NP_595866.1
OG0000087	NP_593091.1
OG0000087	NP_593253.1
OG0000087	NP_593629.1
OG0000087	NP_595686.2
OG0000087	NP_595890.2
OG0000087	NP_595937.1
OG0000088	NP_593803.1
OG0000088	NP_595960.1
OG0000089	NP_588316.1
OG0000089	NP_596123.1
OG0000090	NP_588421.1
OG0000090	NP_593245.1
OG0000090	NP_593704.1
OG0000090	NP_595438.1
OG0000093	NP_595094.1
OG0000097	NP_588181.1
OG0000099	NP_593737.2
OG0000099	NP_595950.1
OG0000100	NP_594580.1
OG0000100	NP_596205.1
OG0000103	NP_593005.1
OG0000103	NP_593564.1
OG0000103	NP_594517.1
OG0000103	NP_596023.1
OG0000106	NP_595759.2
OG0000107	NP_595998.1
OG0000108	NP_001342861.1
OG0000108	NP_593660.1
OG0000108	NP_595385.1
OG0000111	NP_594683.1
OG0000111	NP_595567.1
OG0000111	NP_596467.1
OG0000111	NP_596473.1
OG0000115	NP_593815.1
OG0000115	NP_594848.1
OG0000117	NP_592843.1
OG0000117	NP_594009.1
OG0000117	NP_595289.1
OG0000118	NP_001342720.1
OG0000122	NP_594859.1
OG0000122	NP_595283.1
OG0000122	NP_596239.1
OG0000126	NP_594636.1
OG0000127	NP_593029.1
OG0000130	NP_001342827.1
OG0000130	NP_596800.2
OG0000131	NP_001342704.1
OG0000131	NP_001342848.1
OG0000131	NP_001342876.1
OG0000131	NP_001343003.1
OG0000131	NP_593159.1
OG0000131	NP_594040.1
OG0000131	NP_594754.1
OG0000135	NP_595106.1
OG0000135	NP_596774.1
OG0000137	NP_592949.1
OG0000137	NP_594195.1
OG0000137	NP_594259.1
OG0000142	NP_001018270.2
OG0000142	NP_588310.1
OG0000142	NP_593165.1
OG0000142	NP_595486.1
OG0000143	NP_594682.1
OG0000143	NP_595566.1
OG0000143	NP_596468.1
OG0000146	NP_588330.1
OG0000146	NP_595121.1
OG0000146	NP_595412.1
OG0000146	NP_596787.1
OG0000148	NP_594835.1
OG0000149	NP_595211.1
OG0000151	NP_594178.1
OG0000151	NP_594384.1
OG0000151	NP_594424.1
OG0000151	NP_594888.1
OG0000151	NP_595666.1
OG0000151	NP_596843.1
OG0000152	NP_594535.1
OG0000152	NP_595257.1
OG0000152	NP_596694.1
OG0000153	NP_587966.1
OG0000153	NP_588278.2
OG0000153	NP_592936.1
OG0000155	NP_595726.1
OG0000155	NP_596185.1
OG0000157	NP_001342989.1
OG0000170	NP_593340.1
OG0000170	NP_594877.1
OG0000171	NP_001342822.1
OG0000171	NP_595112.1
OG0000171	NP_595633.2
OG0000171	NP_595720.1
OG0000172	NP_593754.1
OG0000172	NP_594840.1
OG0000172	NP_595159.1
OG0000174	NP_001342719.1
OG0000174	NP_587999.1
OG0000174	NP_588530.1
OG0000175	NP_001342877.1
OG0000175	NP_593184.1
OG0000175	NP_593916.1
OG0000175	NP_595380.1
OG0000175	NP_595760.1
OG0000177	NP_587770.1
OG0000177	NP_593287.2
OG0000177	NP_593468.1
OG0000177	NP_595792.1
OG0000177	NP_596710.1
OG0000178	NP_587941.1
OG0000178	NP_588136.1
OG0000178	NP_593464.1
OG0000178	NP_594436.1
OG0000178	NP_594908.1
OG0000179	NP_001342767.1
OG0000179	NP_587757.1
OG0000179	NP_594440.1
