Orthogroup	DM_TRX
OG0000009	FBgn0000017.p8
OG0000009	FBgn0000723.p1
OG0000009	FBgn0003501.p7
OG0000009	FBgn0003502.p4
OG0000009	FBgn0003733.p9
OG0000009	FBgn0004603.p1
OG0000009	FBgn0004638.p1
OG0000009	FBgn0010583.p3
OG0000009	FBgn0010877.p5
OG0000009	FBgn0011829.p9
OG0000009	FBgn0015295.p1
OG0000009	FBgn0028484.p1
OG0000009	FBgn0031518.p1
OG0000009	FBgn0086903.p17
OG0000012	FBgn0000317.p1
OG0000012	FBgn0002938.p1
OG0000012	FBgn0005634.p8
OG0000012	FBgn0010246.p17
OG0000012	FBgn0015933.p1
OG0000012	FBgn0030252.p15
OG0000012	FBgn0040034.p1
OG0000012	FBgn0040299.p7
OG0000012	FBgn0086347.p1
OG0000012	FBgn0086783.p14
OG0000013	FBgn0001313.p1
OG0000013	FBgn0001314.p1
OG0000013	FBgn0001315.p1
OG0000013	FBgn0010349.p1
OG0000013	FBgn0013809.p1
OG0000013	FBgn0013810.p1
OG0000013	FBgn0013811.p13
OG0000013	FBgn0013812.p1
OG0000013	FBgn0013813.p1
OG0000013	FBgn0023096.p1
OG0000013	FBgn0034106.p1
OG0000013	FBgn0035581.p1
OG0000013	FBgn0037254.p1
OG0000013	FBgn0037726.p1
OG0000013	FBgn0039510.p1
OG0000013	FBgn0085658.p1
OG0000015	FBgn0000808.p1
OG0000015	FBgn0002926.p1
OG0000015	FBgn0003319.p1
OG0000015	FBgn0003863.p1
OG0000015	FBgn0010357.p1
OG0000015	FBgn0010358.p1
OG0000015	FBgn0010359.p2
OG0000015	FBgn0010425.p1
OG0000015	FBgn0011554.p1
OG0000015	FBgn0011555.p1
OG0000015	FBgn0011556.p1
OG0000015	FBgn0011653.p1
OG0000015	FBgn0011832.p1
OG0000015	FBgn0015001.p1
OG0000015	FBgn0015316.p1
OG0000015	FBgn0019928.p1
OG0000015	FBgn0025383.p2
OG0000015	FBgn0027563.p1
OG0000015	FBgn0028917.p1
OG0000015	FBgn0029826.p1
OG0000015	FBgn0029827.p1
OG0000015	FBgn0029828.p1
OG0000015	FBgn0031406.p1
OG0000015	FBgn0031619.p1
OG0000015	FBgn0032947.p1
OG0000015	FBgn0033192.p1
OG0000015	FBgn0033359.p1
OG0000015	FBgn0033362.p4
OG0000015	FBgn0033363.p1
OG0000015	FBgn0033365.p6
OG0000015	FBgn0034052.p1
OG0000015	FBgn0034507.p1
OG0000015	FBgn0034518.p4
OG0000015	FBgn0034519.p1
OG0000015	FBgn0034661.p1
OG0000015	FBgn0034666.p1
OG0000015	FBgn0034807.p1
OG0000015	FBgn0035501.p1
OG0000015	FBgn0035678.p1
OG0000015	FBgn0036287.p1
OG0000015	FBgn0036427.p1
OG0000015	FBgn0036436.p1
OG0000015	FBgn0036612.p1
OG0000015	FBgn0036817.p1
OG0000015	FBgn0036891.p1
OG0000015	FBgn0037677.p1
OG0000015	FBgn0037678.p1
OG0000015	FBgn0038211.p1
OG0000015	FBgn0038214.p1
OG0000015	FBgn0038431.p1
OG0000015	FBgn0038727.p1
OG0000015	FBgn0039272.p1
OG0000015	FBgn0039703.p1
OG0000015	FBgn0042098.p1
OG0000015	FBgn0042186.p1
OG0000015	FBgn0042187.p1
OG0000015	FBgn0042188.p1
OG0000015	FBgn0043470.p1
OG0000015	FBgn0043471.p1
OG0000015	FBgn0050025.p1
OG0000015	FBgn0050031.p1
OG0000015	FBgn0051326.p1
OG0000015	FBgn0051681.p1
OG0000015	FBgn0051728.p1
OG0000015	FBgn0051954.p1
OG0000015	FBgn0052260.p1
OG0000015	FBgn0052755.p1
OG0000015	FBgn0052808.p1
OG0000015	FBgn0052833.p1
OG0000015	FBgn0052834.p1
OG0000015	FBgn0053329.p1
OG0000015	FBgn0085319.p1
OG0000015	FBgn0085379.p1
OG0000015	FBgn0085487.p1
OG0000016	FBgn0003301.p1
OG0000016	FBgn0004852.p1
OG0000016	FBgn0010197.p2
OG0000016	FBgn0013972.p2
OG0000016	FBgn0013973.p1
OG0000016	FBgn0013974.p9
OG0000016	FBgn0022710.p1
OG0000016	FBgn0023416.p1
OG0000016	FBgn0024150.p1
OG0000016	FBgn0034568.p1
OG0000016	FBgn0036368.p1
OG0000016	FBgn0038295.p7
OG0000016	FBgn0038435.p1
OG0000016	FBgn0038436.p1
OG0000016	FBgn0040506.p1
OG0000016	FBgn0040507.p1
OG0000016	FBgn0040508.p1
OG0000016	FBgn0040509.p1
OG0000016	FBgn0040510.p1
OG0000016	FBgn0051183.p1
OG0000016	FBgn0052158.p16
OG0000016	FBgn0052301.p1
OG0000016	FBgn0052305.p1
OG0000016	FBgn0053958.p1
OG0000017	FBgn0000473.p1
OG0000017	FBgn0005670.p1
OG0000017	FBgn0010019.p1
OG0000017	FBgn0011576.p1
OG0000017	FBgn0013771.p1
OG0000017	FBgn0013772.p1
OG0000017	FBgn0013773.p1
OG0000017	FBgn0014469.p1
OG0000017	FBgn0015032.p1
OG0000017	FBgn0015033.p1
OG0000017	FBgn0015034.p1
OG0000017	FBgn0015035.p1
OG0000017	FBgn0015036.p1
OG0000017	FBgn0015037.p1
OG0000017	FBgn0015038.p1
OG0000017	FBgn0015039.p1
OG0000017	FBgn0015040.p1
OG0000017	FBgn0015714.p1
OG0000017	FBgn0023541.p1
OG0000017	FBgn0025454.p1
OG0000017	FBgn0030367.p1
OG0000017	FBgn0030615.p1
OG0000017	FBgn0031126.p1
OG0000017	FBgn0031182.p1
OG0000017	FBgn0031693.p1
OG0000017	FBgn0031694.p1
OG0000017	FBgn0031695.p1
OG0000017	FBgn0031726.p1
OG0000017	FBgn0031925.p1
OG0000017	FBgn0032693.p1
OG0000017	FBgn0033065.p1
OG0000017	FBgn0033121.p1
OG0000017	FBgn0033292.p1
OG0000017	FBgn0033302.p3
OG0000017	FBgn0033303.p1
OG0000017	FBgn0033304.p1
OG0000017	FBgn0033395.p1
OG0000017	FBgn0033397.p1
OG0000017	FBgn0033696.p1
OG0000017	FBgn0033697.p1
OG0000017	FBgn0033775.p1
OG0000017	FBgn0033978.p1
OG0000017	FBgn0033979.p1
OG0000017	FBgn0033980.p1
OG0000017	FBgn0033981.p1
OG0000017	FBgn0033982.p1
OG0000017	FBgn0034053.p1
OG0000017	FBgn0034756.p1
OG0000017	FBgn0035344.p1
OG0000017	FBgn0035790.p1
OG0000017	FBgn0036778.p1
OG0000017	FBgn0038034.p1
OG0000017	FBgn0038037.p2
OG0000017	FBgn0038194.p4
OG0000017	FBgn0039006.p1
OG0000017	FBgn0039519.p1
OG0000017	FBgn0041336.p1
OG0000021	FBgn0000382.p6
OG0000021	FBgn0000464.p1
OG0000021	FBgn0003138.p5
OG0000021	FBgn0004369.p22
OG0000021	FBgn0028341.p1
OG0000021	FBgn0031799.p1
OG0000021	FBgn0034085.p1
OG0000021	FBgn0035133.p7
OG0000021	FBgn0037929.p1
OG0000023	FBgn0010549.p1
OG0000023	FBgn0025701.p1
OG0000023	FBgn0032018.p1
OG0000023	FBgn0032026.p1
OG0000023	FBgn0032456.p1
OG0000023	FBgn0032908.p5
OG0000023	FBgn0034612.p1
OG0000023	FBgn0038740.p6
OG0000023	FBgn0039207.p1
OG0000023	FBgn0039644.p1
OG0000023	FBgn0039645.p1
OG0000023	FBgn0051792.p1
OG0000023	FBgn0051793.p1
OG0000029	FBgn0000241.p2
OG0000029	FBgn0000241.p4
OG0000029	FBgn0003515.p1
OG0000029	FBgn0003996.p1
OG0000029	FBgn0020445.p7
OG0000029	FBgn0020762.p10
OG0000029	FBgn0025683.p2
OG0000029	FBgn0031220.p14
OG0000029	FBgn0031362.p6
OG0000029	FBgn0031449.p10
OG0000029	FBgn0031515.p6
OG0000029	FBgn0031516.p1
OG0000029	FBgn0032167.p1
OG0000029	FBgn0039244.p1
OG0000029	FBgn0052091.p1
OG0000030	FBgn0015663.p1
OG0000030	FBgn0026314.p1
OG0000030	FBgn0026315.p1
OG0000030	FBgn0026754.p1
OG0000030	FBgn0026755.p1
OG0000030	FBgn0026756.p1
OG0000030	FBgn0027070.p4
OG0000030	FBgn0027073.p1
OG0000030	FBgn0027074.p1
OG0000030	FBgn0031887.p1
OG0000030	FBgn0032684.p1
OG0000030	FBgn0032713.p1
OG0000030	FBgn0034605.p1
OG0000030	FBgn0036842.p1
OG0000030	FBgn0038082.p1
OG0000030	FBgn0038083.p1
OG0000030	FBgn0038886.p1
OG0000030	FBgn0039085.p1
OG0000030	FBgn0039086.p1
OG0000030	FBgn0039087.p1
OG0000030	FBgn0040091.p1
OG0000030	FBgn0040250.p1
OG0000030	FBgn0040251.p1
OG0000030	FBgn0040252.p1
OG0000030	FBgn0040253.p1
OG0000030	FBgn0040255.p1
OG0000030	FBgn0040256.p1
OG0000030	FBgn0040257.p1
OG0000030	FBgn0040259.p1
OG0000030	FBgn0040260.p1
OG0000030	FBgn0040261.p1
OG0000030	FBgn0040262.p1
OG0000030	FBgn0042179.p1
OG0000030	FBgn0050438.p5
OG0000030	FBgn0051002.p1
OG0000031	FBgn0004106.p1
OG0000031	FBgn0004107.p1
