Orthogroup	Ihof_TRX
OG0000009	Ihof_10142
OG0000009	Ihof_10600
OG0000009	Ihof_3129
OG0000009	Ihof_425
OG0000009	Ihof_6118
OG0000009	Ihof_6260
OG0000009	Ihof_6327
OG0000009	Ihof_9926
OG0000012	Ihof_1904
OG0000012	Ihof_3907
OG0000012	Ihof_4890
OG0000012	Ihof_5015
OG0000012	Ihof_5320
OG0000012	Ihof_5562
OG0000012	Ihof_568
OG0000012	Ihof_6961
OG0000012	Ihof_8278
OG0000013	Ihof_5554
OG0000013	Ihof_5708
OG0000013	Ihof_6512
OG0000013	Ihof_6657
OG0000015	Ihof_1454
OG0000015	Ihof_1455
OG0000015	Ihof_3416
OG0000015	Ihof_4054
OG0000015	Ihof_6608
OG0000015	Ihof_7724
OG0000015	Ihof_837
OG0000015	Ihof_847
OG0000015	Ihof_8861
OG0000017	Ihof_2509
OG0000017	Ihof_4414
OG0000017	Ihof_6308
OG0000017	Ihof_8453
OG0000021	Ihof_2869
OG0000021	Ihof_5742
OG0000021	Ihof_914
OG0000021	Ihof_9432
OG0000023	Ihof_10278
OG0000023	Ihof_1280
OG0000023	Ihof_2517
OG0000023	Ihof_3744
OG0000023	Ihof_6883
OG0000023	Ihof_8661
OG0000023	Ihof_8863
OG0000023	Ihof_9396
OG0000029	Ihof_10355
OG0000029	Ihof_10380
OG0000029	Ihof_3852
OG0000029	Ihof_5535
OG0000029	Ihof_5730
OG0000029	Ihof_5904
OG0000029	Ihof_7007
OG0000029	Ihof_7008
OG0000029	Ihof_7706
OG0000029	Ihof_7770
OG0000031	Ihof_10520
OG0000031	Ihof_1118
OG0000031	Ihof_1587
OG0000031	Ihof_3207
OG0000031	Ihof_4271
OG0000031	Ihof_4587
OG0000031	Ihof_5174
OG0000031	Ihof_6054
OG0000031	Ihof_725
OG0000031	Ihof_7983
OG0000036	Ihof_1175
OG0000036	Ihof_4487
OG0000036	Ihof_6821
OG0000038	Ihof_3917
OG0000038	Ihof_5978
OG0000038	Ihof_6231
OG0000038	Ihof_7774
OG0000038	Ihof_959
OG0000040	Ihof_10691
OG0000040	Ihof_2196
OG0000040	Ihof_2524
OG0000040	Ihof_333
OG0000040	Ihof_3529
OG0000040	Ihof_4671
OG0000040	Ihof_5380
OG0000040	Ihof_5437
OG0000040	Ihof_6034
OG0000040	Ihof_6296
OG0000040	Ihof_6792
OG0000040	Ihof_7077
OG0000040	Ihof_7168
OG0000040	Ihof_7313
OG0000040	Ihof_8109
OG0000045	Ihof_10269
OG0000045	Ihof_1066
OG0000045	Ihof_3816
OG0000045	Ihof_486
OG0000045	Ihof_578
OG0000045	Ihof_7130
OG0000045	Ihof_8435
OG0000045	Ihof_8748
OG0000045	Ihof_8975
OG0000045	Ihof_95
OG0000046	Ihof_4099
OG0000046	Ihof_4219
OG0000046	Ihof_4270
OG0000046	Ihof_5141
OG0000047	Ihof_3908
OG0000047	Ihof_4071
OG0000047	Ihof_5523
OG0000048	Ihof_1132
OG0000048	Ihof_275
OG0000048	Ihof_5291
OG0000048	Ihof_636
OG0000048	Ihof_7437
OG0000048	Ihof_769
OG0000048	Ihof_7914
OG0000052	Ihof_3710
OG0000052	Ihof_8921
OG0000055	Ihof_10273
OG0000055	Ihof_2565
OG0000055	Ihof_2689
OG0000055	Ihof_2837
OG0000055	Ihof_3568
OG0000055	Ihof_5107
OG0000055	Ihof_5471
OG0000055	Ihof_5628
OG0000055	Ihof_6584
OG0000055	Ihof_798
OG0000055	Ihof_8688
OG0000055	Ihof_8998
OG0000058	Ihof_1340
OG0000058	Ihof_3783
OG0000058	Ihof_5533
OG0000058	Ihof_5940
OG0000059	Ihof_2047
OG0000059	Ihof_5713
OG0000059	Ihof_977
OG0000063	Ihof_2587
OG0000063	Ihof_3743
OG0000063	Ihof_8583
OG0000066	Ihof_1499
OG0000066	Ihof_7757
OG0000067	Ihof_1190
OG0000067	Ihof_315
OG0000067	Ihof_4959
OG0000067	Ihof_5094
OG0000067	Ihof_6747
OG0000067	Ihof_9174
OG0000067	Ihof_9346
OG0000067	Ihof_9724
OG0000069	Ihof_2523
OG0000069	Ihof_3804
OG0000069	Ihof_4600
OG0000069	Ihof_5171
OG0000069	Ihof_6776
OG0000069	Ihof_6875
OG0000069	Ihof_7699
OG0000072	Ihof_277
OG0000072	Ihof_5992
OG0000072	Ihof_7197
OG0000072	Ihof_8571
OG0000072	Ihof_9093
OG0000076	Ihof_3223
OG0000076	Ihof_3288
OG0000076	Ihof_3728
OG0000076	Ihof_4396
OG0000076	Ihof_7296
OG0000076	Ihof_8545
OG0000076	Ihof_9287
OG0000076	Ihof_972
OG0000077	Ihof_10003
OG0000077	Ihof_10552
OG0000077	Ihof_1467
OG0000077	Ihof_2647
OG0000077	Ihof_6158
OG0000079	Ihof_1464
OG0000079	Ihof_1930
OG0000079	Ihof_2087
OG0000079	Ihof_2370
OG0000079	Ihof_2806
OG0000079	Ihof_3980
OG0000079	Ihof_4638
