Orthogroup	SC_TRX
OG0000000	NP_011624.1
OG0000000	NP_012184.1
OG0000000	NP_058162.3
OG0000012	NP_009373.1
OG0000012	NP_011888.1
OG0000012	NP_012793.2
OG0000012	NP_013827.1
OG0000012	NP_014971.1
OG0000013	NP_012980.1
OG0000017	NP_010690.1
OG0000021	NP_010051.1
OG0000021	NP_010998.2
OG0000021	NP_014851.3
OG0000023	NP_010419.3
OG0000023	NP_011797.3
OG0000023	NP_011828.1
OG0000023	NP_013029.3
OG0000023	NP_013030.1
OG0000023	NP_013052.1
OG0000023	NP_013086.1
OG0000029	NP_009937.2
OG0000029	NP_010294.1
OG0000029	NP_010694.1
OG0000029	NP_014468.3
OG0000029	NP_014567.2
OG0000029	NP_014796.3
OG0000029	NP_014973.1
OG0000029	NP_015267.1
OG0000031	NP_009718.3
OG0000031	NP_012783.1
OG0000031	NP_015294.1
OG0000031	NP_015487.1
OG0000036	NP_010177.1
OG0000038	NP_009907.2
OG0000038	NP_010765.3
OG0000038	NP_010795.3
OG0000038	NP_014876.1
OG0000038	NP_015175.1
OG0000038	NP_015184.1
OG0000040	NP_009618.2
OG0000040	NP_010427.3
OG0000045	NP_009835.3
OG0000045	NP_012153.1
OG0000045	NP_012292.3
OG0000045	NP_014345.3
OG0000048	NP_009490.1
OG0000048	NP_010853.2
OG0000048	NP_011299.1
OG0000048	NP_012844.1
OG0000048	NP_015170.1
OG0000052	NP_013016.4
OG0000055	NP_012107.1
OG0000055	NP_014128.2
OG0000058	NP_014218.2
OG0000058	NP_014889.3
OG0000059	NP_013639.1
OG0000059	NP_014729.1
OG0000063	NP_009991.2
OG0000063	NP_012135.1
OG0000063	NP_014331.3
OG0000066	NP_012868.1
OG0000067	NP_009552.1
OG0000067	NP_010511.3
OG0000067	NP_014631.1
OG0000069	NP_009956.2
OG0000069	NP_011668.3
OG0000069	NP_014301.1
OG0000069	NP_014744.1
OG0000072	NP_011997.1
OG0000072	NP_116614.1
OG0000076	NP_009723.3
OG0000076	NP_010089.1
OG0000076	NP_010144.1
OG0000077	NP_010745.3
OG0000077	NP_011051.3
OG0000079	NP_010439.1
OG0000079	NP_010590.3
OG0000079	NP_011924.1
OG0000079	NP_013317.1
OG0000079	NP_013633.1
OG0000084	NP_012981.3
OG0000084	NP_013330.1
OG0000084	NP_014309.3
OG0000084	NP_015491.1
OG0000086	NP_009819.1
OG0000086	NP_010667.1
OG0000086	NP_010677.1
OG0000086	NP_011082.3
OG0000086	NP_014770.1
OG0000086	NP_015210.1
OG0000087	NP_010929.3
