Orthogroup	SU_TRX
OG0000000	WHL22.113614.0.p1
OG0000000	WHL22.113617.0.p1
OG0000000	WHL22.130187.0.p2
OG0000000	WHL22.141716.0.p1
OG0000000	WHL22.144609.1.p1
OG0000000	WHL22.15170.0.p1
OG0000000	WHL22.164767.0.p2
OG0000000	WHL22.166465.0.p1
OG0000000	WHL22.173954.0.p1
OG0000000	WHL22.173954.0.p5
OG0000000	WHL22.174021.0.p1
OG0000000	WHL22.179008.0.p1
OG0000000	WHL22.224312.0.p1
OG0000000	WHL22.230844.0.p1
OG0000000	WHL22.232082.0.p1
OG0000000	WHL22.232082.1.p1
OG0000000	WHL22.233611.0.p1
OG0000000	WHL22.245275.0.p1
OG0000000	WHL22.245275.1.p1
OG0000000	WHL22.245275.2.p1
OG0000000	WHL22.245275.3.p1
OG0000000	WHL22.287207.0.p1
OG0000000	WHL22.29497.0.p1
OG0000000	WHL22.297241.0.p1
OG0000000	WHL22.300437.0.p2
OG0000000	WHL22.300437.0.p3
OG0000000	WHL22.329555.0.p1
OG0000000	WHL22.337426.0.p1
OG0000000	WHL22.350784.0.p1
OG0000000	WHL22.362395.0.p1
OG0000000	WHL22.376761.0.p2
OG0000000	WHL22.38784.0.p1
OG0000000	WHL22.38790.0.p1
OG0000000	WHL22.38793.0.p1
OG0000000	WHL22.404038.0.p1
OG0000000	WHL22.435058.0.p2
OG0000000	WHL22.43676.0.p1
OG0000000	WHL22.457935.0.p1
OG0000000	WHL22.473641.0.p1
OG0000000	WHL22.49660.0.p1
OG0000000	WHL22.512455.0.p2
OG0000000	WHL22.512455.0.p4
OG0000000	WHL22.547667.0.p1
OG0000000	WHL22.563050.0.p1
OG0000000	WHL22.573640.0.p1
OG0000000	WHL22.604955.0.p2
OG0000000	WHL22.610807.0.p1
OG0000000	WHL22.619226.0.p1
OG0000000	WHL22.669245.0.p2
OG0000000	WHL22.683358.0.p1
OG0000000	WHL22.705878.0.p1
OG0000000	WHL22.731632.1.p1
OG0000000	WHL22.749678.0.p1
OG0000000	WHL22.768075.0.p1
OG0000009	WHL22.133509.0.p1
OG0000009	WHL22.133565.0.p1
OG0000009	WHL22.142273.0.p1
OG0000009	WHL22.156907.0.p1
OG0000009	WHL22.159452.1.p1
OG0000009	WHL22.171337.0.p1
OG0000009	WHL22.171410.0.p1
OG0000009	WHL22.171410.1.p1
OG0000009	WHL22.171410.2.p1
OG0000009	WHL22.240511.0.p1
OG0000009	WHL22.240511.1.p1
OG0000009	WHL22.278654.0.p1
OG0000009	WHL22.290272.0.p1
OG0000009	WHL22.290272.1.p1
OG0000009	WHL22.309021.0.p1
OG0000009	WHL22.403021.0.p1
OG0000009	WHL22.403021.1.p1
OG0000009	WHL22.41528.0.p1
OG0000009	WHL22.41613.0.p1
OG0000009	WHL22.41613.1.p1
OG0000009	WHL22.418866.0.p1
OG0000009	WHL22.435206.0.p1
OG0000009	WHL22.435236.0.p1
OG0000009	WHL22.458775.0.p1
OG0000009	WHL22.461082.0.p1
OG0000009	WHL22.461082.1.p1
OG0000009	WHL22.477769.0.p1
OG0000009	WHL22.477802.0.p1
OG0000009	WHL22.477802.1.p1
OG0000009	WHL22.492875.0.p1
OG0000009	WHL22.495401.0.p1
OG0000009	WHL22.574906.0.p1
OG0000009	WHL22.574966.0.p1
OG0000009	WHL22.580001.0.p1
OG0000009	WHL22.58485.0.p1
OG0000009	WHL22.58485.1.p1
OG0000009	WHL22.587386.0.p1
OG0000009	WHL22.587386.1.p1
OG0000009	WHL22.603112.3.p1
OG0000009	WHL22.653219.0.p1
OG0000009	WHL22.653219.1.p1
OG0000009	WHL22.708302.0.p1
OG0000009	WHL22.718312.0.p1
OG0000009	WHL22.764951.0.p1
OG0000009	WHL22.769816.0.p1
OG0000009	WHL22.769816.1.p1
OG0000012	WHL22.114182.0.p1
OG0000012	WHL22.199611.0.p1
OG0000012	WHL22.240239.0.p1
OG0000012	WHL22.259279.0.p1
OG0000012	WHL22.282836.0.p1
OG0000012	WHL22.282889.0.p1
OG0000012	WHL22.309651.1.p1
OG0000012	WHL22.347101.0.p1
OG0000012	WHL22.347101.1.p1
OG0000012	WHL22.347119.0.p1
OG0000012	WHL22.347119.1.p1
OG0000012	WHL22.347119.2.p1
OG0000012	WHL22.422977.0.p1
OG0000012	WHL22.432884.0.p1
OG0000012	WHL22.538990.0.p1
OG0000012	WHL22.538990.1.p1
OG0000012	WHL22.538990.2.p1
OG0000012	WHL22.538990.3.p1
OG0000012	WHL22.538993.0.p1
OG0000012	WHL22.548762.0.p1
OG0000012	WHL22.550412.0.p1
OG0000012	WHL22.550412.1.p1
OG0000012	WHL22.614724.0.p1
OG0000012	WHL22.614724.1.p1
OG0000012	WHL22.695299.0.p1
OG0000012	WHL22.735242.0.p1
OG0000012	WHL22.735242.1.p1
OG0000012	WHL22.754772.0.p1
OG0000012	WHL22.754772.1.p1
OG0000013	WHL22.105676.0.p1
OG0000013	WHL22.105679.0.p1
