Orthogroup	Clim_TRX
OG0000009	Clim_g1446
OG0000009	Clim_g1922
OG0000009	Clim_g2486
OG0000009	Clim_g2628
OG0000009	Clim_g278
OG0000009	Clim_g3500
OG0000009	Clim_g3802
OG0000009	Clim_g4893
OG0000009	Clim_g5148
OG0000009	Clim_g5634
OG0000009	Clim_g5645
OG0000009	Clim_g5896
OG0000009	Clim_g639
OG0000009	Clim_g799
OG0000009	Clim_g839
OG0000009	Clim_g920
OG0000012	Clim_g1226
OG0000012	Clim_g1276
OG0000012	Clim_g1501
OG0000012	Clim_g1914
OG0000012	Clim_g330
OG0000012	Clim_g3346
OG0000012	Clim_g5040
OG0000012	Clim_g6044
OG0000012	Clim_g6581
OG0000012	Clim_g682
OG0000013	Clim_g2582
OG0000013	Clim_g3203
OG0000016	Clim_g2123
OG0000016	Clim_g5678
OG0000016	Clim_g5704
OG0000016	Clim_g5808
OG0000016	Clim_g5904
OG0000016	Clim_g6809
OG0000017	Clim_g1545
OG0000017	Clim_g2552
OG0000017	Clim_g3801
OG0000017	Clim_g4475
OG0000017	Clim_g5055
OG0000017	Clim_g5329
OG0000017	Clim_g5521
OG0000017	Clim_g5822
OG0000017	Clim_g5823
OG0000017	Clim_g5824
OG0000017	Clim_g5981
OG0000017	Clim_g6280
OG0000017	Clim_g6825
OG0000017	Clim_g6952
OG0000017	Clim_g7038
OG0000017	Clim_g7040
OG0000021	Clim_g2119
OG0000021	Clim_g3404
OG0000021	Clim_g4210
OG0000021	Clim_g5037
OG0000021	Clim_g603
OG0000021	Clim_g606
OG0000023	Clim_g2974
OG0000023	Clim_g393
OG0000023	Clim_g4468
OG0000023	Clim_g5109
OG0000023	Clim_g6291
OG0000023	Clim_g6583
OG0000023	Clim_g6593
OG0000023	Clim_g6853
OG0000029	Clim_g1736
OG0000029	Clim_g2105
OG0000029	Clim_g421
OG0000029	Clim_g422
OG0000029	Clim_g4872
OG0000029	Clim_g4873
OG0000029	Clim_g5108
OG0000029	Clim_g5666
OG0000029	Clim_g5667
OG0000029	Clim_g7032
OG0000031	Clim_g1789
OG0000031	Clim_g1867
OG0000031	Clim_g1871
OG0000031	Clim_g241
OG0000031	Clim_g3931
OG0000031	Clim_g6844
OG0000031	Clim_g939
OG0000036	Clim_g5260
OG0000038	Clim_g132
OG0000038	Clim_g1786
OG0000038	Clim_g3133
OG0000038	Clim_g3686
OG0000038	Clim_g4024
OG0000038	Clim_g4544
OG0000038	Clim_g4608
OG0000038	Clim_g4680
OG0000038	Clim_g4965
OG0000038	Clim_g5255
OG0000038	Clim_g5459
OG0000038	Clim_g5517
OG0000038	Clim_g6346
OG0000038	Clim_g6726
OG0000038	Clim_g6811
OG0000040	Clim_g146
OG0000040	Clim_g2350
OG0000040	Clim_g3281
OG0000040	Clim_g3383
OG0000040	Clim_g5368
OG0000040	Clim_g5402
OG0000040	Clim_g6272
OG0000040	Clim_g6297
OG0000040	Clim_g6312
OG0000040	Clim_g6777
OG0000045	Clim_g3145
OG0000045	Clim_g3596
OG0000045	Clim_g4161
OG0000045	Clim_g4510
OG0000045	Clim_g4658
OG0000045	Clim_g795
OG0000046	Clim_g2720
OG0000046	Clim_g2917
OG0000046	Clim_g5932
OG0000047	Clim_g2740
OG0000048	Clim_g1411
OG0000048	Clim_g2165
OG0000048	Clim_g2327
OG0000048	Clim_g2415
OG0000048	Clim_g5696
OG0000048	Clim_g5999
OG0000048	Clim_g85
OG0000049	Clim_g1884
OG0000052	Clim_g138
OG0000052	Clim_g2623
OG0000052	Clim_g2800
OG0000052	Clim_g5541
OG0000055	Clim_g4732
OG0000055	Clim_g5877
OG0000055	Clim_g6359
OG0000058	Clim_g1140
OG0000058	Clim_g1428
OG0000058	Clim_g2710
OG0000058	Clim_g3250
