Orthogroup	ML_TRX
OG0000000	ML003311a.p1
OG0000000	ML00742a.p1
OG0000000	ML00942a.p1
OG0000000	ML01262a.p1
OG0000000	ML01563a.p1
OG0000000	ML01763a.p1
OG0000000	ML01789a.p1
OG0000000	ML02132a.p1
OG0000000	ML030418a.p1
OG0000000	ML03257a.p1
OG0000000	ML034651a.p1
OG0000000	ML034652a.p1
OG0000000	ML03982a.p1
OG0000000	ML04657a.p1
OG0000000	ML05032a.p1
OG0000000	ML050821a.p1
OG0000000	ML051725a.p1
OG0000000	ML06091a.p1
OG0000000	ML06251a.p1
OG0000000	ML074244a.p1
OG0000000	ML078412a.p1
OG0000000	ML08209a.p1
OG0000000	ML08272a.p1
OG0000000	ML08471a.p1
OG0000000	ML085013a.p1
OG0000000	ML086624a.p1
OG0000000	ML10061a.p1
OG0000000	ML102918a.p1
OG0000000	ML10933a.p1
OG0000000	ML12211a.p1
OG0000000	ML124913a.p1
OG0000000	ML12593a.p1
OG0000000	ML13361a.p1
OG0000000	ML137614a.p1
OG0000000	ML143028a.p1
OG0000000	ML143033a.p1
OG0000000	ML177320a.p1
OG0000000	ML19073a.p1
OG0000000	ML19074a.p1
OG0000000	ML20853a.p1
OG0000000	ML215423a.p1
OG0000000	ML218951a.p1
OG0000000	ML25392a.p1
OG0000000	ML25748a.p1
OG0000000	ML25888a.p1
OG0000000	ML274448a.p1
OG0000000	ML27491a.p1
OG0000000	ML279834a.p1
OG0000000	ML28141a.p1
OG0000000	ML32433a.p1
OG0000000	ML42512a.p1
OG0000000	ML45761a.p1
OG0000009	ML009120a.p1
OG0000009	ML012515a.p1
OG0000009	ML01417a.p1
OG0000009	ML015416a.p1
OG0000009	ML02672a.p1
OG0000009	ML03212a.p1
OG0000009	ML045237a.p1
OG0000009	ML04613a.p1
OG0000009	ML05773a.p1
OG0000009	ML059819a.p1
OG0000009	ML074810a.p1
OG0000009	ML07824a.p1
OG0000009	ML11617a.p1
OG0000009	ML11689a.p1
OG0000009	ML149623a.p1
OG0000009	ML15151a.p1
OG0000009	ML167038a.p1
OG0000009	ML189319a.p1
OG0000009	ML203914a.p1
OG0000009	ML20753a.p1
OG0000009	ML21721a.p1
OG0000009	ML32221a.p1
OG0000009	ML342225a.p1
OG0000009	ML376311a.p1
OG0000009	ML398321a.p1
OG0000009	ML418612a.p1
OG0000012	ML00121a.p1
OG0000012	ML00266a.p1
OG0000012	ML022011a.p1
OG0000012	ML02275a.p1
OG0000012	ML16038a.p1
OG0000012	ML305521a.p1
OG0000012	ML451316a.p1
OG0000013	ML002216a.p1
OG0000013	ML002217a.p1
OG0000013	ML007814a.p1
OG0000013	ML011723a.p1
OG0000013	ML011724a.p1
OG0000013	ML019112a.p1
OG0000013	ML019114a.p1
OG0000013	ML03391a.p1
OG0000013	ML043817a.p1
OG0000013	ML04387a.p1
OG0000013	ML046510a.p1
OG0000013	ML046512a.p1
OG0000013	ML04658a.p1
OG0000013	ML053015a.p1
OG0000013	ML062221a.p1
OG0000013	ML062223a.p1
OG0000013	ML07114a.p1
OG0000013	ML14854a.p1
OG0000013	ML14857a.p1
OG0000013	ML22084a.p1
OG0000013	ML23409a.p1
OG0000013	ML23504a.p1
OG0000013	ML23506a.p1
OG0000013	ML23952a.p1
OG0000013	ML29671a.p1
OG0000013	ML329912a.p1
