OG	UID	NAME
ENSDARG00000091848	O08808	Protein diaphanous homolog 1 
ENSDARG00000091816	Q3UMF0	Cordon-bleu protein-like 1 
ENSDARG00000091813	Q8IWY4	"Signal peptide, CUB and EGF-like domain-containing protein 1"
ENSDARG00000091766	Q96PE2	Rho guanine nucleotide exchange factor 17 
ENSDARG00000091810	P17141	Zinc finger protein 37 
ENSDARG00000091762	P24399	Zinc finger protein 239 
ENSDARG00000091806	Q63258	Integrin alpha-7 
ENSDARG00000091743	P10548	Lysostaphin 
ENSDARG00000091759	Q04756	Hepatocyte growth factor activator 
ENSDARG00000091750	Q7KQD1	Histone H4
ENSDARG00000091698	P18715	Gastrula zinc finger protein XlCGF26.1
ENSDARG00000091643	Q8ILT4	Metacaspase-3 
ENSDARG00000091650	Q9H665	IGF-like family receptor 1 
ENSDARG00000091640	Q1LZE2	"RAD9, HUS1, RAD1-interacting nuclear orphan protein 1"
ENSDARG00000091536	P18742	Oocyte zinc finger protein XlCOF19
ENSDARG00000091548	Q9P2P6	StAR-related lipid transfer protein 9 
ENSDARG00000091506	O54956	DNA polymerase epsilon subunit 2 
ENSDARG00000091446	P62799	Histone H4
ENSDARG00000091434	Q8BHH8	Clarin-3 
ENSDARG00000091411	Q2YHT7	Cell surface glycoprotein CD200 receptor 1-A 
ENSDARG00000091425	Q3HNM7	Protein inscuteable homolog 
ENSDARG00000091391	E7F555	Intraflagellar transport protein 43 homolog
ENSDARG00000091382	P62804	Histone H4 [Cleaved into: Osteogenic growth peptide 
ENSDARG00000091378	Q6UWF9	Protein FAM180A
ENSDARG00000091364	P18716	Gastrula zinc finger protein XlCGF28.1
ENSDARG00000091377	E7EZ53	Galanin peptides [Cleaved into: Galanin; Galanin message-associated peptide]
ENSDARG00000091369	P23467	Receptor-type tyrosine-protein phosphatase beta 
ENSDARG00000091350	Q8IUG5	Unconventional myosin-XVIIIb
ENSDARG00000091313	P62804	Histone H4 [Cleaved into: Osteogenic growth peptide 
ENSDARG00000091304	Q96LW7	Caspase recruitment domain-containing protein 19 
ENSDARG00000091276	Q9UJW8	Zinc finger protein 180 
ENSDARG00000091273	A6NNB3	Interferon-induced transmembrane protein 5 
ENSDARG00000091193	Q52118	Uncharacterized protein in mobD 3'region
ENSDARG00000091163	Q4FZG9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2
ENSDARG00000091137	Q6B4J5	Spore coat assembly protein ExsA
ENSDARG00000091124	Q86WX3	Active regulator of SIRT1 
ENSDARG00000091111	Q2MHQ9	TRAF-interacting protein with FHA domain-containing protein A
ENSDARG00000091054	Q7Z7G8	Intermembrane lipid transfer protein VPS13B 
ENSDARG00000091044	Q99062	Granulocyte colony-stimulating factor receptor 
ENSDARG00000091025	Q8BI99	Zinc finger protein 879
ENSDARG00000091032	Q8BG81	Polymerase delta-interacting protein 3 
ENSDARG00000091038	P52926	High mobility group protein HMGI-C 
ENSDARG00000091011	Q6WV73	Histone H4
ENSDARG00000091006	E7F568	Protein cordon-bleu
ENSDARG00000091010	P52742	Zinc finger protein 135 
ENSDARG00000090996	Q923D3	Prostate androgen-regulated mucin-like protein 1 homolog 
ENSDARG00000090980	Q5M889	Apolipoprotein F 
ENSDARG00000090972	Q5TIA1	Meiosis inhibitor protein 1 
ENSDARG00000090972	Q9D4I2	Meiosis inhibitor protein 1 
ENSDARG00000090962	Q0P4A4	Probable N-acetyltransferase 14 
ENSDARG00000090851	Q7RTR2	NLR family CARD domain-containing protein 3 
ENSDARG00000090832	B2RRE4	Zinc finger protein 518B
ENSDARG00000090951	A4IH95	UPF0500 protein C1orf216 homolog
ENSDARG00000090948	B4PD06	Kelch-like protein diablo
ENSDARG00000090906	Q7SY52	Serine/threonine-protein kinase 10 
ENSDARG00000090941	Q6WV90	Histone H4
ENSDARG00000090807	H6D7E6	Protein TALPID3
ENSDARG00000090801	Q8N137	Centrobin 
ENSDARG00000090703	Q9DE49	Platelet-derived growth factor receptor alpha 
ENSDARG00000090696	Q5YCC7	Transmembrane channel-like protein 3
ENSDARG00000090680	Q7TQF2	F-box only protein 10
ENSDARG00000090679	P52742	Zinc finger protein 135 
ENSDARG00000090668	Q06ZW3	Histone-lysine N-methyltransferase SETDB2 
ENSDARG00000090649	O88188	Lymphocyte antigen 86 
ENSDARG00000090644	Q641F3	Collagen alpha-1
ENSDARG00000090625	Q9HB09	Bcl-2-like protein 12 
ENSDARG00000090579	Q68CR7	Leucine-rich repeat-containing protein 66
ENSDARG00000090621	Q6P3V7	Tetratricopeptide repeat protein 41 
ENSDARG00000090623	Q6ZTK2	Putative uncharacterized protein LOC400499
ENSDARG00000090529	A0A2R8QPS5	Guanine nucleotide exchange factor subunit RIC1 
ENSDARG00000090532	Q6NX49	Zinc finger protein 544
ENSDARG00000090480	Q96LX7	Coiled-coil domain-containing protein 17
ENSDARG00000090482	Q8TES7	Fas-binding factor 1 
ENSDARG00000090468	Q00756	Protein phosphatase 1 regulatory subunit 3A 
ENSDARG00000090467	Q14050	Collagen alpha-3
ENSDARG00000090402	P70347	TRAF family member-associated NF-kappa-B activator 
ENSDARG00000090419	Q01133	Antho-RFamide neuropeptides [Cleaved into: Antho-RFamide]
ENSDARG00000090401	Q6AYK4	Apoptosis facilitator Bcl-2-like protein 14 
ENSDARG00000090390	A0A2R8QPS5	Guanine nucleotide exchange factor subunit RIC1 
ENSDARG00000090353	Q91ZU6	Dystonin 
ENSDARG00000090373	C7DZK3	Collagen alpha-1
ENSDARG00000090262	P12255	Filamentous hemagglutinin
ENSDARG00000090376	Q8R508	Protocadherin Fat 3 
ENSDARG00000090333	Q8V9S9	Protein B602L 
ENSDARG00000090232	Q03400	S-antigen protein
ENSDARG00000090230	Q8BHE4	Transmembrane protein 108 
ENSDARG00000090204	Q8IWT3	Cullin-9 
