Orthogroup	FW_TRX
OG0000000	FW_v1_tr_00143.p2
OG0000000	FW_v1_tr_00405.p1
OG0000000	FW_v1_tr_00473.p1
OG0000000	FW_v1_tr_00483.p1
OG0000000	FW_v1_tr_00484.p1
OG0000000	FW_v1_tr_00554.p1
OG0000000	FW_v1_tr_00632.p1
OG0000000	FW_v1_tr_00669.p1
OG0000000	FW_v1_tr_00820.p1
OG0000000	FW_v1_tr_01009.p1
OG0000000	FW_v1_tr_01054.p2
OG0000000	FW_v1_tr_01089.p1
OG0000000	FW_v1_tr_01415.p1
OG0000000	FW_v1_tr_01438.p1
OG0000000	FW_v1_tr_01639.p1
OG0000000	FW_v1_tr_01640.p1
OG0000000	FW_v1_tr_01644.p1
OG0000000	FW_v1_tr_01925.p1
OG0000000	FW_v1_tr_02096.p1
OG0000000	FW_v1_tr_02389.p1
OG0000000	FW_v1_tr_02440.p3
OG0000000	FW_v1_tr_02440.p4
OG0000000	FW_v1_tr_02494.p1
OG0000000	FW_v1_tr_02512.p1
OG0000000	FW_v1_tr_02811.p1
OG0000000	FW_v1_tr_03003.p3
OG0000000	FW_v1_tr_03270.p1
OG0000000	FW_v1_tr_03332.p1
OG0000000	FW_v1_tr_03579.p1
OG0000000	FW_v1_tr_04012.p1
OG0000000	FW_v1_tr_04013.p1
OG0000000	FW_v1_tr_04014.p1
OG0000000	FW_v1_tr_04076.p1
OG0000000	FW_v1_tr_04170.p2
OG0000000	FW_v1_tr_04360.p1
OG0000000	FW_v1_tr_04503.p1
OG0000000	FW_v1_tr_04756.p1
OG0000000	FW_v1_tr_04853.p1
OG0000000	FW_v1_tr_04885.p1
OG0000000	FW_v1_tr_04916.p1
OG0000000	FW_v1_tr_04941.p2
OG0000000	FW_v1_tr_05173.p1
OG0000000	FW_v1_tr_05176.p1
OG0000000	FW_v1_tr_05236.p1
OG0000000	FW_v1_tr_05277.p1
OG0000000	FW_v1_tr_05328.p1
OG0000000	FW_v1_tr_06058.p1
OG0000000	FW_v1_tr_06142.p1
OG0000000	FW_v1_tr_06469.p2
OG0000000	FW_v1_tr_06470.p2
OG0000000	FW_v1_tr_06613.p1
OG0000000	FW_v1_tr_06633.p1
OG0000000	FW_v1_tr_06707.p1
OG0000000	FW_v1_tr_06769.p1
OG0000000	FW_v1_tr_06866.p1
OG0000000	FW_v1_tr_07083.p1
OG0000000	FW_v1_tr_07181.p1
OG0000000	FW_v1_tr_07182.p1
