Orthogroup	NV_TRX
OG0000000	Nv.T1.10059.1.p1
OG0000000	Nv.T1.10787.1.p1
OG0000000	Nv.T1.11126.1.p1
OG0000000	Nv.T1.11433.1.p1
OG0000000	Nv.T1.11553.1.p1
OG0000000	Nv.T1.11553.2.p1
OG0000000	Nv.T1.13224.1.p1
OG0000000	Nv.T1.14826.1.p1
OG0000000	Nv.T1.14841.2.p1
OG0000000	Nv.T1.15241.1.p1
OG0000000	Nv.T1.15241.2.p1
OG0000000	Nv.T1.16493.1.p1
OG0000000	Nv.T1.16568.1.p1
OG0000000	Nv.T1.16772.1.p1
OG0000000	Nv.T1.17904.1.p2
OG0000000	Nv.T1.17905.1.p2
OG0000000	Nv.T1.17906.1.p2
OG0000000	Nv.T1.19529.1.p1
OG0000000	Nv.T1.22847.1.p1
OG0000000	Nv.T1.22847.1.p2
OG0000000	Nv.T1.25114.1.p1
OG0000000	Nv.T1.31044.1.p1
OG0000000	Nv.T1.34519.1.p2
OG0000000	Nv.T1.35845.1.p1
OG0000000	Nv.T1.38269.1.p1
OG0000000	Nv.T1.41088.1.p1
OG0000000	Nv.T1.4230.1.p1
OG0000000	Nv.T1.42320.1.p1
OG0000000	Nv.T1.4236.1.p1
OG0000000	Nv.T1.45165.1.p1
OG0000000	Nv.T1.45308.1.p1
OG0000000	Nv.T1.45308.1.p2
OG0000000	Nv.T1.4560.3.p1
OG0000000	Nv.T1.4560.5.p1
OG0000000	Nv.T1.4837.1.p1
OG0000000	Nv.T1.5186.2.p1
OG0000000	Nv.T1.53234.1.p1
OG0000000	Nv.T1.61368.1.p1
OG0000000	Nv.T1.62092.1.p1
OG0000000	Nv.T1.62616.1.p1
OG0000000	Nv.T1.63571.2587.p1
OG0000000	Nv.T1.63571.2587.p3
OG0000000	Nv.T1.63571.2588.p1
OG0000000	Nv.T1.63571.2588.p2
OG0000000	Nv.T1.63571.2589.p1
OG0000000	Nv.T1.63571.2589.p3
OG0000000	Nv.T1.63571.4566.p1
OG0000000	Nv.T1.63571.4567.p1
OG0000000	Nv.T1.63571.4568.p1
OG0000000	Nv.T1.63571.4570.p1
OG0000000	Nv.T1.63571.4571.p1
OG0000000	Nv.T1.63571.4573.p1
OG0000000	Nv.T1.63571.4573.p2
OG0000000	Nv.T1.63571.4574.p1
OG0000000	Nv.T1.63571.4574.p2
OG0000000	Nv.T1.63571.4576.p1
OG0000000	Nv.T1.63571.4576.p2
OG0000000	Nv.T1.63571.4577.p1
OG0000000	Nv.T1.63571.4578.p1
OG0000000	Nv.T1.63571.4579.p1
OG0000000	Nv.T1.63571.4580.p1
OG0000000	Nv.T1.63571.4580.p2
OG0000000	Nv.T1.63571.4581.p1
OG0000000	Nv.T1.63571.4582.p1
OG0000000	Nv.T1.63571.4582.p2
OG0000000	Nv.T1.63571.4582.p3
OG0000000	Nv.T1.63571.4583.p1
OG0000000	Nv.T1.63571.4583.p2
OG0000000	Nv.T1.63571.4583.p3
OG0000000	Nv.T1.63571.4584.p1
OG0000000	Nv.T1.63571.4584.p2
OG0000000	Nv.T1.63571.4584.p3
OG0000000	Nv.T1.63571.4585.p1
OG0000000	Nv.T1.63571.4587.p1
OG0000000	Nv.T1.63571.4590.p1
OG0000000	Nv.T1.63571.9815.p1
OG0000000	Nv.T1.63571.9815.p2
OG0000000	Nv.T1.64753.1.p1
OG0000000	Nv.T1.64753.2.p1
OG0000000	Nv.T1.65084.16.p1
OG0000000	Nv.T1.65084.17.p1
OG0000000	Nv.T1.65084.18.p1
OG0000000	Nv.T1.65084.19.p1
OG0000000	Nv.T1.65084.19.p2
OG0000000	Nv.T1.65211.1.p1
OG0000000	Nv.T1.65564.2.p1
OG0000000	Nv.T1.69736.1.p1
OG0000000	Nv.T1.69736.2.p1
OG0000000	Nv.T1.69736.3.p1
OG0000000	Nv.T1.69736.4.p1
OG0000000	Nv.T1.69736.5.p1
OG0000000	Nv.T1.69884.1.p1
OG0000000	Nv.T1.70006.1.p1
OG0000000	Nv.T1.70154.1.p1
OG0000000	Nv.T1.70154.2.p1
OG0000000	Nv.T1.70154.3.p1
OG0000000	Nv.T1.70715.1.p1
OG0000000	Nv.T1.71455.1.p1
OG0000000	Nv.T1.71455.1.p2
OG0000000	Nv.T1.75100.1.p1
OG0000000	Nv.T1.76444.1.p1
OG0000000	Nv.T1.9158.1.p1
OG0000000	Nv.T1.9158.2.p1
OG0000000	Nv.T1.9158.3.p1
OG0000009	Nv.T1.10292.1.p1
OG0000009	Nv.T1.10292.2.p1
OG0000009	Nv.T1.10873.1.p1
OG0000009	Nv.T1.14121.1.p1
OG0000009	Nv.T1.1425.1.p1
OG0000009	Nv.T1.1425.2.p1
OG0000009	Nv.T1.18185.1.p1
OG0000009	Nv.T1.18186.1.p1
OG0000009	Nv.T1.18187.1.p1
OG0000009	Nv.T1.1914.1.p1
OG0000009	Nv.T1.19505.1.p1
OG0000009	Nv.T1.19531.1.p1
OG0000009	Nv.T1.19532.1.p4
OG0000009	Nv.T1.22314.1.p1
OG0000009	Nv.T1.22993.1.p1
OG0000009	Nv.T1.24844.1.p1
OG0000009	Nv.T1.25804.1.p1
OG0000009	Nv.T1.26756.1.p1
OG0000009	Nv.T1.26757.1.p1
OG0000009	Nv.T1.26950.1.p1
OG0000009	Nv.T1.27004.1.p1
OG0000009	Nv.T1.30782.1.p2
OG0000009	Nv.T1.30783.1.p1
OG0000009	Nv.T1.3137.1.p2
OG0000009	Nv.T1.31508.1.p1
OG0000009	Nv.T1.31782.1.p1
OG0000009	Nv.T1.326.1.p1
OG0000009	Nv.T1.43124.1.p1
OG0000009	Nv.T1.43125.1.p1
OG0000009	Nv.T1.46335.1.p1
OG0000009	Nv.T1.47347.1.p1
OG0000009	Nv.T1.49545.1.p1
OG0000009	Nv.T1.49710.1.p1
OG0000009	Nv.T1.49711.1.p1
OG0000009	Nv.T1.5391.2.p1
OG0000009	Nv.T1.58070.1.p1
OG0000009	Nv.T1.62892.1.p1
OG0000009	Nv.T1.63571.14074.p1
OG0000009	Nv.T1.63571.14075.p1
OG0000009	Nv.T1.63571.14077.p1
OG0000009	Nv.T1.63571.8257.p1
OG0000009	Nv.T1.63837.1.p1
OG0000009	Nv.T1.63837.1.p2
OG0000009	Nv.T1.63837.2.p1
OG0000009	Nv.T1.63837.2.p2
OG0000009	Nv.T1.63838.1.p1
OG0000009	Nv.T1.64353.1.p1
OG0000009	Nv.T1.65008.1.p1
OG0000009	Nv.T1.65559.1.p1
