Orthogroup	Cfra_TRX
OG0000009	Cfra_0219T1
OG0000009	Cfra_1819T1
OG0000009	Cfra_3148T1
OG0000009	Cfra_3281T1
OG0000009	Cfra_3639T1
OG0000009	Cfra_3658T1
OG0000009	Cfra_3670T1
OG0000009	Cfra_3868T1
OG0000009	Cfra_4422T1
OG0000009	Cfra_5780T1
OG0000009	Cfra_7244T1
OG0000009	Cfra_7543T1
OG0000009	Cfra_7708T1
OG0000009	Cfra_8037T1
OG0000009	Cfra_8274T1
OG0000012	Cfra_1732T1
OG0000012	Cfra_4645T1
OG0000012	Cfra_5427T1
OG0000012	Cfra_6244T1
OG0000012	Cfra_6331T1
OG0000012	Cfra_6349T1
OG0000012	Cfra_7676T1
OG0000013	Cfra_0215T1
OG0000013	Cfra_0216T1
OG0000015	Cfra_0574T1
OG0000015	Cfra_1484T1
OG0000015	Cfra_1701T1
OG0000015	Cfra_2886T1
OG0000015	Cfra_3159T1
OG0000015	Cfra_3195T1
OG0000015	Cfra_3417T1
OG0000015	Cfra_4765T1
OG0000015	Cfra_4994T1
OG0000015	Cfra_5003T1
OG0000015	Cfra_5570T1
OG0000015	Cfra_5725T1
OG0000015	Cfra_5893T1
OG0000015	Cfra_6234T1
OG0000015	Cfra_6243T1
OG0000015	Cfra_6379T1
OG0000015	Cfra_6380T1
OG0000015	Cfra_6449T1
OG0000015	Cfra_6582T1
OG0000015	Cfra_6723T1
OG0000015	Cfra_6946T1
OG0000015	Cfra_7205T1
OG0000015	Cfra_7221T1
OG0000015	Cfra_7376T1
OG0000015	Cfra_7537T1
OG0000015	Cfra_7705T1
OG0000015	Cfra_7775T1
OG0000015	Cfra_7776T1
OG0000015	Cfra_8460T1
OG0000016	Cfra_1947T1
OG0000017	Cfra_0742T1
OG0000017	Cfra_3165T1
OG0000017	Cfra_3588T1
OG0000017	Cfra_3934T1
OG0000017	Cfra_5089T1
OG0000017	Cfra_6314T1
OG0000021	Cfra_0353T1
OG0000021	Cfra_3803T1
OG0000021	Cfra_4005T1
OG0000021	Cfra_4633T1
OG0000021	Cfra_6191T1
OG0000021	Cfra_7375T1
OG0000023	Cfra_3514T1
OG0000023	Cfra_5323T1
OG0000023	Cfra_8215T1
OG0000029	Cfra_0448T1
OG0000029	Cfra_2046T1
OG0000029	Cfra_2324T1
OG0000029	Cfra_2562T1
OG0000029	Cfra_3180T1
OG0000029	Cfra_3659T1
OG0000029	Cfra_3689T1
OG0000029	Cfra_4114T1
OG0000029	Cfra_4255T1
OG0000029	Cfra_4609T1
OG0000029	Cfra_6164T1
OG0000029	Cfra_6166T1
OG0000029	Cfra_7093T1
OG0000029	Cfra_7704T1
OG0000029	Cfra_8399T1
OG0000029	Cfra_8559T1
OG0000029	Cfra_8613T1
OG0000031	Cfra_0386T1
OG0000031	Cfra_0392T1
OG0000031	Cfra_1574T1
OG0000031	Cfra_6154T1
OG0000031	Cfra_7094T1
OG0000031	Cfra_7413T1
OG0000031	Cfra_8108T1
OG0000031	Cfra_8204T1
OG0000031	Cfra_8520T1
OG0000038	Cfra_1733T1
OG0000038	Cfra_1902T1
OG0000038	Cfra_2973T1
OG0000038	Cfra_3855T1
OG0000038	Cfra_4284T1
OG0000038	Cfra_5775T1
OG0000038	Cfra_5806T1
OG0000038	Cfra_7758T1
OG0000038	Cfra_7937T1
OG0000040	Cfra_1467T1
OG0000040	Cfra_2097T1
OG0000040	Cfra_2897T1
OG0000040	Cfra_3935T1
OG0000040	Cfra_6255T1
OG0000040	Cfra_6391T1
OG0000040	Cfra_6614T1
OG0000040	Cfra_6875T1
OG0000040	Cfra_6945T1
OG0000040	Cfra_8551T1
OG0000045	Cfra_0857T1
OG0000045	Cfra_0888T1
OG0000045	Cfra_1406T1
OG0000045	Cfra_2435T1
OG0000045	Cfra_6698T1
OG0000045	Cfra_7496T1
OG0000046	Cfra_1833T1
OG0000046	Cfra_2070T1
OG0000046	Cfra_7736T1
OG0000047	Cfra_6505T1
OG0000047	Cfra_7541T1
OG0000048	Cfra_0943T1
OG0000048	Cfra_2322T1
OG0000048	Cfra_4610T1
OG0000048	Cfra_4846T1
OG0000048	Cfra_5184T1
OG0000052	Cfra_2239T1
OG0000052	Cfra_3228T1
OG0000052	Cfra_8123T1
OG0000055	Cfra_1064T1
OG0000055	Cfra_1983T1
OG0000055	Cfra_2876T1
OG0000055	Cfra_7079T1
OG0000058	Cfra_1771T1
OG0000058	Cfra_3225T1
OG0000058	Cfra_3945T1
OG0000058	Cfra_4220T1
OG0000058	Cfra_7089T1
OG0000059	Cfra_3929T1
OG0000059	Cfra_5827T1
OG0000063	Cfra_4444T1
OG0000063	Cfra_5969T1
OG0000063	Cfra_7414T1
OG0000063	Cfra_8015T1
OG0000063	Cfra_8591T1
OG0000066	Cfra_0439T1
OG0000066	Cfra_0529T1
OG0000066	Cfra_3675T1
OG0000066	Cfra_4416T1
OG0000066	Cfra_4514T1
OG0000066	Cfra_5131T1
OG0000066	Cfra_7857T1
OG0000066	Cfra_8043T1
OG0000067	Cfra_3583T1
OG0000067	Cfra_3673T1
OG0000069	Cfra_1194T1
OG0000069	Cfra_2720T1
OG0000069	Cfra_3443T1
OG0000069	Cfra_4251T1
OG0000069	Cfra_4828T1
OG0000069	Cfra_6748T1
OG0000069	Cfra_7033T1
OG0000072	Cfra_1247T1
OG0000072	Cfra_2232T1
OG0000072	Cfra_2285T1
OG0000072	Cfra_3162T1
OG0000072	Cfra_4849T1
OG0000072	Cfra_7513T1
OG0000076	Cfra_1317T1
OG0000076	Cfra_3491T1
OG0000076	Cfra_4237T1
OG0000076	Cfra_4636T1
OG0000076	Cfra_6656T1
OG0000076	Cfra_7637T1
OG0000077	Cfra_1928T1
OG0000077	Cfra_3661T1
OG0000077	Cfra_3668T1
OG0000077	Cfra_3682T1
OG0000077	Cfra_4899T1
OG0000077	Cfra_6842T1
OG0000079	Cfra_1230T1
OG0000079	Cfra_2042T1
OG0000079	Cfra_2441T1
OG0000079	Cfra_3430T1
OG0000079	Cfra_4624T1
OG0000079	Cfra_8366T1
OG0000084	Cfra_3098T1
OG0000084	Cfra_4662T1
OG0000084	Cfra_5045T1
OG0000084	Cfra_8302T1
OG0000086	Cfra_3649T1
OG0000086	Cfra_4180T1
OG0000086	Cfra_4952T1
OG0000086	Cfra_6809T1
OG0000087	Cfra_3107T1
OG0000087	Cfra_3109T1
OG0000087	Cfra_3717T1
OG0000087	Cfra_4513T1
OG0000087	Cfra_5064T1
OG0000087	Cfra_5291T1
OG0000087	Cfra_6981T1
OG0000087	Cfra_7349T1
OG0000087	Cfra_8122T1
OG0000088	Cfra_0785T1
OG0000088	Cfra_0893T1
OG0000088	Cfra_3440T1
OG0000088	Cfra_5889T1
OG0000088	Cfra_5945T1
OG0000088	Cfra_6687T1
OG0000089	Cfra_2006T1
OG0000089	Cfra_2064T1
OG0000089	Cfra_3423T1
OG0000089	Cfra_3726T1
OG0000089	Cfra_5879T1
OG0000089	Cfra_6906T1
OG0000089	Cfra_7334T1
OG0000089	Cfra_7642T1
OG0000089	Cfra_7957T1
OG0000090	Cfra_1150T1
OG0000090	Cfra_1155T1
OG0000090	Cfra_2004T1
OG0000090	Cfra_3267T1
OG0000090	Cfra_4423T1
OG0000090	Cfra_4426T1
OG0000090	Cfra_5615T1
OG0000090	Cfra_8033T1
OG0000090	Cfra_8036T1
OG0000091	Cfra_1786T1
OG0000091	Cfra_4427T1
OG0000091	Cfra_8032T1
OG0000093	Cfra_1629T1
OG0000093	Cfra_7802T1
OG0000094	Cfra_0837T1
OG0000094	Cfra_1129T1
OG0000095	Cfra_1244T1
OG0000095	Cfra_1407T1
OG0000095	Cfra_5049T1
OG0000097	Cfra_3584T1
OG0000097	Cfra_3671T1
OG0000097	Cfra_4822T1
OG0000099	Cfra_1290T1
OG0000099	Cfra_4173T1
OG0000099	Cfra_6964T1
OG0000100	Cfra_3616T1
OG0000100	Cfra_4062T1
OG0000100	Cfra_8452T1
OG0000101	Cfra_3734T1
OG0000101	Cfra_4272T1
OG0000101	Cfra_7286T1
OG0000103	Cfra_0257T1
OG0000103	Cfra_1598T1
OG0000103	Cfra_1872T1
OG0000103	Cfra_5520T1
