Orthogroup	HD_TRX
OG0000009	HD_v1_tr_00497.p2
OG0000009	HD_v1_tr_00497.p3
OG0000009	HD_v1_tr_00952.p1
OG0000009	HD_v1_tr_02321.p1
OG0000009	HD_v1_tr_02542.p1
OG0000009	HD_v1_tr_03095.p1
OG0000009	HD_v1_tr_03173.p1
OG0000009	HD_v1_tr_03639.p1
OG0000009	HD_v1_tr_05538.p1
OG0000009	HD_v1_tr_05811.p1
OG0000009	HD_v1_tr_06428.p1
OG0000009	HD_v1_tr_07453.p2
OG0000009	HD_v1_tr_07453.p3
OG0000009	HD_v1_tr_08375.p1
OG0000009	HD_v1_tr_08415.p1
OG0000009	HD_v1_tr_08913.p1
OG0000009	HD_v1_tr_10160.p1
OG0000009	HD_v1_tr_10759.p1
OG0000009	HD_v1_tr_10760.p1
OG0000012	HD_v1_tr_00599.p1
OG0000012	HD_v1_tr_00799.p1
OG0000012	HD_v1_tr_00799.p6
OG0000012	HD_v1_tr_03031.p1
OG0000012	HD_v1_tr_03031.p6
OG0000012	HD_v1_tr_03341.p1
OG0000012	HD_v1_tr_03341.p6
OG0000012	HD_v1_tr_03633.p1
OG0000012	HD_v1_tr_04712.p1
OG0000012	HD_v1_tr_07718.p1
OG0000012	HD_v1_tr_07997.p1
OG0000012	HD_v1_tr_08317.p1
OG0000012	HD_v1_tr_08319.p1
OG0000012	HD_v1_tr_11445.p1
OG0000012	HD_v1_tr_11445.p4
OG0000012	HD_v1_tr_11568.p1
OG0000013	HD_v1_tr_03368.p1
OG0000015	HD_v1_tr_00091.p1
OG0000015	HD_v1_tr_00517.p1
OG0000015	HD_v1_tr_00640.p1
OG0000015	HD_v1_tr_00697.p1
OG0000015	HD_v1_tr_00709.p1
OG0000015	HD_v1_tr_01428.p1
OG0000015	HD_v1_tr_01877.p1
OG0000015	HD_v1_tr_02714.p2
OG0000015	HD_v1_tr_02744.p1
OG0000015	HD_v1_tr_03348.p1
OG0000015	HD_v1_tr_03358.p1
OG0000015	HD_v1_tr_03776.p1
OG0000015	HD_v1_tr_03797.p1
OG0000015	HD_v1_tr_03874.p1
OG0000015	HD_v1_tr_03917.p1
OG0000015	HD_v1_tr_03985.p1
OG0000015	HD_v1_tr_04490.p1
OG0000015	HD_v1_tr_05524.p1
OG0000015	HD_v1_tr_05525.p1
OG0000015	HD_v1_tr_05955.p1
OG0000015	HD_v1_tr_06336.p1
OG0000015	HD_v1_tr_06496.p1
OG0000015	HD_v1_tr_06751.p1
OG0000015	HD_v1_tr_06809.p1
OG0000015	HD_v1_tr_06948.p1
OG0000015	HD_v1_tr_06949.p1
OG0000015	HD_v1_tr_06950.p1
OG0000015	HD_v1_tr_07018.p1
OG0000015	HD_v1_tr_07127.p1
OG0000015	HD_v1_tr_07362.p1
OG0000015	HD_v1_tr_07515.p1
OG0000015	HD_v1_tr_07830.p1
OG0000015	HD_v1_tr_07945.p1
OG0000015	HD_v1_tr_08332.p3
OG0000015	HD_v1_tr_08362.p1
OG0000015	HD_v1_tr_08815.p1
OG0000015	HD_v1_tr_10138.p1
OG0000015	HD_v1_tr_10378.p1
OG0000015	HD_v1_tr_10472.p1
OG0000015	HD_v1_tr_10872.p1
OG0000015	HD_v1_tr_10960.p1
OG0000015	HD_v1_tr_11127.p1
OG0000015	HD_v1_tr_11603.p1
