Orthogroup	CE_TRX
OG0000000	K04G7.1.p1
OG0000009	B0303.7a.p1
OG0000009	B0303.7b.p1
OG0000009	C14F5.5.p1
OG0000009	C24G6.2a.p1
OG0000009	C24G6.2b.p1
OG0000009	F08F1.1a.p1
OG0000009	F08F1.1b.p1
OG0000009	F08F1.1c.p1
OG0000009	F09A5.2.p1
OG0000009	F09G2.1.p1
OG0000009	F11E6.8a.p1
OG0000009	F11E6.8b.p1
OG0000009	F22D6.1.p1
OG0000009	F26E4.5.p1
OG0000009	F49B2.5.p1
OG0000009	F57B9.8.p1
OG0000009	M79.1a.p1
OG0000009	M79.1b.p1
OG0000009	M79.1c.p1
OG0000009	R151.4a.p1
OG0000009	T04B2.2a.p1
OG0000009	T04B2.2b.p1
OG0000009	Y44E3A.4.p1
OG0000009	Y47G6A.5a.p1
OG0000009	Y47G6A.5b.p1
OG0000009	Y48G1C.2.p1
OG0000009	Y92H12A.1.p1
OG0000009	ZK470.5a.p1
OG0000009	ZK470.5b.p1
OG0000009	ZK622.1.p1
OG0000012	F11C3.3.p1
OG0000012	F20G4.3.p1
OG0000012	F29D10.4.p1
OG0000012	F36D4.3a.p1
OG0000012	F36D4.3b.p1
OG0000012	F36D4.3c.p1
OG0000012	F36D4.3e.p1
OG0000012	F36D4.3f.p1
OG0000012	F45G2.2a.p1
OG0000012	F45G2.2b.p1
OG0000012	F52B10.1.p1
OG0000012	F56A6.2a.p1
OG0000012	F56A6.2b.p1
OG0000012	F58G4.1.p1
OG0000012	K12F2.1.p1
OG0000012	R06C7.10.p1
OG0000012	T02C12.1.p1
OG0000012	T10H10.1.p1
OG0000012	T18D3.4.p1
OG0000012	Y11D7A.14.p1
OG0000013	B0365.7.p1
OG0000013	F18C12.1.p1
OG0000013	T21E12.4.p1
OG0000015	C07G1.1.p1
OG0000015	C43G2.5.p1
OG0000015	K07B1.1.p1
OG0000015	ZK546.15.p1
OG0000016	AH6.1.p1
OG0000016	B0024.6.p1
OG0000016	C04H5.3.p1
OG0000016	C06B3.8.p1
OG0000016	C10F3.3.p1
OG0000016	C17F4.6.p1
OG0000016	C30G4.3.p1
OG0000016	C44F1.5.p1
OG0000016	C46E1.2.p1
OG0000016	C49H3.1.p1
OG0000016	C54E4.3.p1
OG0000016	F08B1.2.p1
OG0000016	F17C8.1.p1
OG0000016	F21H7.9.p1
OG0000016	F22E5.3.p1
OG0000016	F23H12.6.p1
OG0000016	F52E1.4a.p1
OG0000016	F52E1.4b.p1
OG0000016	M04G12.3.p1
OG0000016	R134.1.p1
OG0000016	R134.2.p1
OG0000016	T01A4.1a.p1
OG0000016	T01A4.1b.p1
OG0000016	T01A4.1c.p1
OG0000016	T01A4.1d.p1
OG0000016	T01C2.1.p1
OG0000016	T03D8.5.p1
OG0000016	T04D3.4a.p1
OG0000016	T04D3.4b.p1
OG0000016	T04D3.4c.p1
OG0000016	T07D1.1a.p1
OG0000016	T07D1.1b.p1
OG0000016	T07D1.1c.p1
OG0000016	T26C12.4.p1
OG0000016	W03F11.2.p1
OG0000016	Y105C5B.2.p1
OG0000016	ZC239.7.p1
OG0000016	ZC412.2.p1
OG0000016	ZK455.2.p1
OG0000016	ZK896.8.p1
OG0000016	ZK970.5.p1
OG0000016	ZK970.6.p1
OG0000017	B0331.1.p1
OG0000017	C26F1.2.p1
OG0000017	C36A4.1.p1
OG0000017	C36A4.2.p1
OG0000017	C36A4.3.p1
OG0000017	C36A4.6.p1
OG0000017	E03E2.1.p1
OG0000017	F01D5.9.p1
OG0000017	F02C12.5a.p1
OG0000017	F02C12.5c.p1
OG0000017	F14F7.2.p1
OG0000017	F14F7.3.p1
OG0000017	F28G4.1.p1
OG0000017	F42A6.4.p1
OG0000017	H02I12.8.p1
OG0000017	K06B9.1.p1
OG0000017	K06G5.2.p1
OG0000017	T10B9.1.p1
OG0000017	T10B9.10.p1
OG0000017	T10B9.2.p1
OG0000017	T10B9.3.p1
OG0000017	T10B9.4.p1
OG0000017	T10B9.5.p1
OG0000017	T10B9.7.p1
OG0000017	T10B9.8.p1
OG0000017	T19B10.1.p1
OG0000017	Y17G9B.3.p1
OG0000017	Y38C9B.1.p1
OG0000017	Y5H2B.5.p1
OG0000017	Y80D3A.5.p1
OG0000017	ZK1320.4.p1
OG0000021	C09D8.1a.p1
OG0000021	C09D8.1b.p1
OG0000021	C09D8.1c.p1
OG0000021	C09D8.1d.p1
OG0000021	C09D8.1e.p1
OG0000021	C48D5.2a.p1
OG0000021	C48D5.2b.p1
OG0000021	C48D5.2c.p1
OG0000021	F20H11.4.p1
OG0000021	F36H1.3.p1
OG0000021	F44G4.8a.p1
OG0000021	F44G4.8b.p1
OG0000021	F59G1.5.p1
OG0000021	M04G7.2.p1
OG0000021	T22C1.8.p1
OG0000021	T27A3.5.p1
OG0000021	T28F4.3.p1
OG0000021	Y41D4A.5.p1
OG0000021	Y71G12B.31.p1
OG0000021	ZK616.7.p1
OG0000021	ZK616.8.p1
OG0000023	E03G2.2.p1
OG0000023	F14F4.3a.p1
OG0000023	F14F4.3b.p1
OG0000023	F20B6.3.p1
OG0000023	F21G4.2.p1
OG0000023	F57C12.4.p1
OG0000023	F57C12.5a.p1
OG0000023	F57C12.5b.p1
OG0000023	F57C12.5c.p1
OG0000023	F57C12.5d.p1
OG0000023	F57C12.5e.p1
OG0000023	Y43F8C.12.p1
OG0000023	Y75B8A.26.p1
OG0000029	C05D10.3.p1
OG0000029	C10C6.5.p1
OG0000029	C16C10.12.p1
OG0000029	C56E6.5.p1
OG0000029	F02E11.1.p1
OG0000029	F19B6.4.p1
OG0000029	T26A5.1.p1
OG0000029	Y42G9A.6a.p1
OG0000029	Y42G9A.6b.p1
OG0000029	Y47D3A.11.p1
OG0000030	AC3.2.p1
OG0000030	B0310.5.p1
OG0000030	C03A7.11.p1
OG0000030	C03A7.12.p1
OG0000030	C03A7.13.p1
OG0000030	C07A9.6.p1
OG0000030	C08B6.1a.p1
OG0000030	C08B6.1b.p1
OG0000030	C08F11.8.p1
OG0000030	C10H11.3.p1
OG0000030	C10H11.4.p1
OG0000030	C10H11.5.p1
OG0000030	C10H11.6a.p1
OG0000030	C10H11.6b.p1
OG0000030	C17G1.3a.p1
OG0000030	C17G1.3b.p1
OG0000030	C18C4.3.p1
OG0000030	C23G10.6.p1
OG0000030	C32C4.7.p1
OG0000030	C33A12.6.p1
OG0000030	C35A5.2.p1
OG0000030	C44H9.1.p1
OG0000030	C49A9.8.p1
OG0000030	C55H1.1.p1
OG0000030	F01D4.1a.p1
OG0000030	F01D4.1b.p1
OG0000030	F01D4.2.p1
OG0000030	F01E11.1.p1
OG0000030	F08G5.5.p1
OG0000030	F09G2.6.p1
OG0000030	F10D2.11.p1
OG0000030	F10D2.12.p1
OG0000030	F10D2.2a.p1
OG0000030	F10D2.2b.p1
OG0000030	F10D2.5.p1
OG0000030	F10D2.6.p1
OG0000030	F10D2.7.p1
OG0000030	F10D2.8.p1
OG0000030	F29F11.2.p1
OG0000030	F31F4.7.p1
OG0000030	F35H8.6.p1
OG0000030	F39G3.1.p1
OG0000030	F47C10.6.p1
OG0000030	F54C1.1.p1
OG0000030	F56B3.7.p1
OG0000030	H10D18.6.p1
OG0000030	K04A8.10.p1
OG0000030	K08B4.3.p1
OG0000030	K08B4.4.p1
OG0000030	M88.1.p1
OG0000030	R04B5.9.p1
OG0000030	R11A8.3.p1
OG0000030	T01G5.2.p1
OG0000030	T03D3.1.p1
OG0000030	T07C5.1b.p1
OG0000030	T07C5.1c.p1
OG0000030	T25B9.7.p1
OG0000030	Y37E11AR.5.p1
OG0000030	Y39G10AR.6.p1
OG0000030	Y43D4A.2.p1
OG0000030	Y49C4A.8a.p1
OG0000030	Y49C4A.8b.p1
OG0000030	ZC443.5.p1
OG0000030	ZC443.6.p1
OG0000031	B0285.1a.p1
OG0000031	B0285.1b.p1
OG0000031	B0285.1c.p1
OG0000031	B0495.2.p1
OG0000031	C07G1.3a.p1
OG0000031	C07G1.3b.p1
OG0000031	C07G1.3c.p1
OG0000031	H01G02.2.p1
OG0000031	H25P06.2a.p1
OG0000031	H25P06.2b.p1
OG0000031	K03E5.3.p1
OG0000031	M04C9.5a.p1
OG0000031	M04C9.5b.p1
OG0000031	T05G5.3.p1
OG0000031	T27E9.3.p1
OG0000031	ZC123.4a.p1
OG0000031	ZC123.4b.p1
OG0000031	ZC123.4c.p1
OG0000031	ZC504.3.p1
OG0000033	B0198.1.p1
OG0000033	B0563.2.p1
OG0000033	C17G1.8.p1
OG0000033	C25G6.2.p1
OG0000033	F33C8.3.p1
OG0000033	T14G10.6.p1
OG0000033	T23D8.2.p1
OG0000033	Y39B6A.6.p1
OG0000036	C04G2.7.p1
OG0000036	C09G12.1.p1
OG0000036	C18B12.3.p1
OG0000036	C37E2.4.p1
OG0000036	C37E2.5.p1
OG0000036	D1007.1.p1
OG0000036	F14F3.1a.p1
OG0000036	F14F3.1b.p1
OG0000036	F14F3.1c.p1
OG0000036	F26C11.2.p1
OG0000036	F27E5.2.p1
OG0000036	F48B9.5.p1
OG0000036	F58E6.10.p1
OG0000036	K06B9.5.p1
OG0000036	K07C11.1.p1
OG0000036	R08B4.2.p1
OG0000036	T13C5.4.p1
OG0000036	W03A3.1.p1
OG0000036	Y113G7A.6a.p1
OG0000036	Y113G7A.6b.p1
OG0000036	Y113G7A.6c.p1
OG0000036	Y53C12C.1.p1
OG0000036	ZK265.4.p1
OG0000036	ZK993.1.p1
OG0000038	F14H3.12.p1
OG0000038	F49C5.4.p1
OG0000038	F58H12.1.p1
OG0000038	H39E23.1a.p1
OG0000038	H39E23.1b.p1
OG0000038	H39E23.1c.p1
OG0000038	H39E23.1d.p1
OG0000038	H39E23.1e.p1
OG0000038	H39E23.1f.p1
OG0000038	H39E23.1g.p1
OG0000038	H39E23.1h.p1
OG0000038	H39E23.1i.p1
OG0000038	H39E23.1j.p1
OG0000038	H39E23.1k.p1
OG0000038	PAR2.3a.p1
OG0000038	PAR2.3b.p1
OG0000038	T01C8.1a.p1
OG0000038	T01C8.1b.p1
OG0000038	T01C8.1c.p1
OG0000038	W03G1.6a.p1
OG0000038	W03G1.6b.p1
OG0000038	Y60A3A.16.p1
OG0000038	ZK524.4.p1
OG0000040	C01G6.4.p1
OG0000040	C18B12.4.p1
OG0000040	W02A11.3.p1
OG0000040	Y47D3B.11.p1
OG0000040	Y54E10BR.3.p1
OG0000040	Y71F9AL.10.p1
OG0000040	ZK637.14.p1
OG0000045	C04F12.8.p1
OG0000045	C05B10.1.p1
OG0000045	C16A3.2.p1
OG0000045	C24F3.2.p1
OG0000045	F08B1.1a.p1
OG0000045	F08B1.1b.p1
OG0000045	F08B1.1c.p1
OG0000045	F13D11.3.p1
OG0000045	F26A3.4.p1
OG0000045	Y54F10BM.13.p1
OG0000045	ZK757.2.p1
OG0000046	F41E6.6.p1
OG0000046	R09F10.1.p1
OG0000046	T03E6.7.p1
OG0000046	Y40H7A.10.p1
OG0000047	C32C4.1a.p1
OG0000047	C32C4.1b.p1
OG0000047	C32C4.1c.p1
OG0000047	C32C4.1e.p1
OG0000047	C32C4.1f.p1
OG0000047	C32C4.1g.p1
OG0000047	C53C9.3a.p1
OG0000047	C53C9.3b.p1
OG0000047	C53C9.3c.p1
OG0000047	F12F3.1a.p1
OG0000047	F12F3.1b.p1
OG0000047	F12F3.1c.p1
OG0000047	F12F3.1d.p1
OG0000047	F14F11.1a.p1
OG0000047	F14F11.1b.p1
OG0000047	F14F11.1c.p1
OG0000047	F14F11.1d.p1
OG0000047	F14F11.1e.p1
OG0000047	F14F11.1f.p1
OG0000047	F14F11.1g.p1
OG0000047	F14F11.1h.p1
OG0000047	F44A2.2.p1
OG0000047	R07A4.1.p1
OG0000047	R186.5.p1
OG0000047	Y48A6B.6a.p1
OG0000047	Y48A6B.6b.p1
OG0000047	Y55F3C.3a.p1
OG0000047	Y55F3C.3b.p1
OG0000047	Y73B6BL.19.p1
OG0000047	ZK1321.2a.p1
OG0000047	ZK1321.2b.p1
OG0000047	ZK1321.2c.p1
OG0000047	ZK1321.2d.p1
OG0000047	ZK1321.2e.p1
OG0000047	ZK1321.2f.p1
OG0000047	ZK1321.2g.p1
OG0000048	F20C5.2a.p1
OG0000048	F22F4.3a.p1
OG0000048	F22F4.3b.p1
OG0000048	F22F4.3c.p1
OG0000048	F23B12.8a.p1
OG0000048	F23B12.8b.p1
OG0000048	M02B7.3a.p1
OG0000048	M02B7.3b.p1
OG0000048	T01G1.1a.p1
OG0000048	T01G1.1c.p1
OG0000048	Y43F4B.6.p1
OG0000048	Y50D7A.6.p1
OG0000049	C47D12.7a.p1
OG0000049	R11E3.6.p1
OG0000049	R12E2.1.p1
OG0000049	T27E9.4a.p1
OG0000049	T27E9.4b.p1
OG0000049	W02G9.2.p1
OG0000052	C26C6.6.p1
OG0000052	C28H8.6a.p1
OG0000052	C28H8.6b.p1
OG0000052	C28H8.6c.p1
OG0000052	F07C6.1.p1
OG0000052	F14D12.2.p1
OG0000052	F25H5.1a.p1
OG0000052	F25H5.1b.p1
OG0000052	F25H5.1c.p1
OG0000052	F25H5.1d.p1
OG0000052	F25H5.1e.p1
OG0000052	F25H5.1f.p1
OG0000052	F42G4.3a.p1
OG0000052	F42G4.3b.p1
OG0000052	F42G4.3c.p1
OG0000052	F42G4.3d.p1
OG0000052	F42G4.3e.p1
OG0000052	T11B7.4b.p1
OG0000052	T11B7.4c.p1
OG0000052	T11B7.4d.p1
OG0000052	T11B7.4e.p1
OG0000052	Y105E8A.6.p1
OG0000052	Y1A5A.1.p1
OG0000052	Y65B4A.7.p1
OG0000055	F11H8.4a.p1
OG0000055	F11H8.4b.p1
OG0000055	F15B9.4.p1
OG0000055	F56E10.2.p1
OG0000055	F58B6.2.p1
OG0000055	Y48G9A.4.p1
OG0000058	C01G8.3.p1
OG0000058	C15H11.4.p1
OG0000058	DC2.5.p1
OG0000058	E04F6.15.p1
OG0000058	E04F6.7.p1
OG0000058	F32A5.8.p1
OG0000058	K10H10.3a.p1
OG0000058	K10H10.6.p1
OG0000058	Y60A3A.10.p1
OG0000059	C08G5.4a.p1
OG0000059	C08G5.4b.p1
OG0000059	F07A5.5.p1
OG0000059	F31E8.2a.p1
OG0000059	F31E8.2b.p1
OG0000059	F37A4.7a.p1
OG0000059	F37A4.7b.p1
OG0000059	F37A4.7c.p1
OG0000059	F37A4.7d.p1
OG0000059	F42G9.7.p1
OG0000059	R12A1.2.p1
OG0000059	T10B10.5.p1
OG0000059	T23H2.2.p1
OG0000059	Y75B7AL.3.p1
OG0000063	B0286.5.p1
OG0000063	C25A1.2.p1
OG0000063	C47G2.2.p1
OG0000063	F26B1.7.p1
OG0000063	F38A6.1a.p1
OG0000063	F38A6.1b.p1
OG0000063	F38A6.1c.p1
OG0000063	K10G6.1.p1
OG0000063	T14G12.4a.p1
OG0000063	T14G12.4b.p1
OG0000063	T28H11.4.p1
OG0000066	C01G12.5.p1
OG0000066	C06B8.3.p1
OG0000066	C06E4.3.p1
OG0000066	C06E4.4.p1
OG0000066	C06E4.6.p1
OG0000066	D1054.8.p1
OG0000066	F02C12.2.p1
OG0000066	F09E10.3.p1
OG0000066	F12E12.11.p1
OG0000066	F12E12.12.p1
OG0000066	F25D1.5.p1
OG0000066	F26D2.15.p1
OG0000066	F28H7.2.p1
OG0000066	F36H9.3.p1
OG0000066	F54F3.4.p1
OG0000066	R05D8.10.p1
OG0000066	R05D8.7.p1
OG0000066	R05D8.8.p1
OG0000066	R05D8.9.p1
OG0000066	R08H2.1.p1
OG0000066	R119.3.p1
OG0000066	R11D1.11.p1
OG0000066	T01G6.1.p1
OG0000066	T01G6.10.p1
OG0000066	W03F9.9.p1
OG0000066	Y39A1A.11.p1
OG0000066	Y47G6A.21.p1
OG0000066	Y47G6A.22.p1
OG0000066	ZK829.1.p1
OG0000067	B0035.7.p1
OG0000067	C50F4.13.p1
OG0000067	F07B7.10.p1
OG0000067	F07B7.3.p1
OG0000067	F08G2.2.p1
OG0000067	F17E9.13.p1
OG0000067	F35H10.1.p1
OG0000067	F45F2.4.p1
OG0000067	F54E12.5.p1
OG0000067	F55G1.10.p1
OG0000067	H02I12.7.p1
OG0000067	K06C4.11.p1
OG0000067	K06C4.3.p1
OG0000067	R08C7.3.p1
OG0000067	T10C6.12.p1
OG0000067	T23D8.6.p1
OG0000067	ZK1251.1.p1
OG0000067	ZK131.10.p1
OG0000067	ZK131.6.p1
OG0000069	C08F8.7.p1
OG0000069	C25D7.7.p1
OG0000069	C27B7.8.p1
OG0000069	C44C11.1a.p1
OG0000069	F17C8.4.p1
OG0000069	F54C8.5.p1
OG0000069	Y53G8AR.3a.p1
OG0000069	Y53G8AR.3b.p1
OG0000069	ZK792.6.p1
OG0000072	M03F4.2a.p1
OG0000072	M03F4.2b.p1
OG0000072	M03F4.2c.p1
OG0000072	T04C12.4.p1
OG0000072	T04C12.5.p1
OG0000072	T04C12.6.p1
OG0000072	T25C8.2.p1
OG0000072	Y53F4B.22.p1
OG0000076	B0336.2.p1
OG0000076	F45E4.1.p1
OG0000076	F54C9.10.p1
OG0000076	F57H12.1.p1
OG0000076	Y116A8C.12.p1
OG0000076	ZK632.8.p1
OG0000077	F13E6.4.p1
OG0000077	F45H7.6.p1
OG0000077	Y65B4BR.4a.p1
OG0000077	Y65B4BR.4b.p1
OG0000077	Y67D8C.5.p1
OG0000077	Y92H12A.2.p1
OG0000079	F31C3.1.p1
OG0000079	F42G9.2.p1
OG0000079	T01B7.4.p1
OG0000079	T22F3.12.p1
OG0000079	T27D1.1.p1
OG0000079	Y116A8C.34a.p1
OG0000079	Y116A8C.34b.p1
OG0000079	Y49A3A.5.p1
OG0000079	Y75B12B.2.p1
OG0000079	Y75B12B.5.p1
OG0000079	ZK520.5.p1
OG0000083	F35H10.10.p1
OG0000083	F45H11.4.p1
OG0000083	Y4C6A.2a.p1
OG0000083	Y4C6A.2b.p1
OG0000083	Y4C6A.2c.p1
OG0000083	Y4C6A.2d.p1
OG0000083	ZC506.4a.p1
OG0000083	ZC506.4b.p1
OG0000084	C09G12.8b.p1
OG0000084	C35C5.4.p1
OG0000084	K03D3.10.p1
OG0000084	R07G3.1.p1
OG0000084	Y51H4A.3.p1
OG0000086	BE0003N10.2.p1
OG0000086	C38D4.5.p1
OG0000086	Y34B4A.8a.p1
OG0000086	Y34B4A.8b.p1
OG0000086	ZK669.1a.p1
OG0000086	ZK669.1b.p1
OG0000086	ZK669.1c.p1
OG0000086	ZK669.1d.p1
OG0000087	C04H5.6.p1
OG0000087	EEED8.5.p1
OG0000087	F56D2.6a.p1
OG0000087	F56D2.6b.p1
OG0000087	K03H1.2.p1
OG0000087	Y37E11AM.1.p1
OG0000087	Y67D2.6.p1
OG0000088	C26C6.2.p1
OG0000088	C34D1.3.p1
OG0000088	C55H1.2.p1
OG0000088	E02C12.5.p1
OG0000088	F18G5.3.p1
OG0000088	F38E1.5.p1
OG0000088	F48C11.1.p1
OG0000088	F56H9.3.p1
OG0000088	F56H9.4a.p1
OG0000088	M01D7.7a.p1
OG0000088	M01D7.7b.p1
OG0000088	M04C7.1.p1
OG0000088	R06A10.2.p1
OG0000088	R10H10.5.p1
OG0000088	T07A9.7.p1
OG0000088	T19C4.6a.p1
OG0000088	T19C4.6b.p1
OG0000088	Y95B8A.5.p1
OG0000089	T28F12.3.p1
OG0000089	Y34B4A.4a.p1
OG0000089	Y34B4A.4b.p1
OG0000090	C12C8.1.p1
OG0000090	C15H9.6.p1
OG0000090	F26D10.3.p1
OG0000090	F43E2.8.p1
OG0000090	F44E5.4.p1
OG0000090	F44E5.5.p1
OG0000091	B0273.4a.p1
OG0000091	B0273.4b.p1
OG0000091	C02B4.1.p1
OG0000091	F01F1.13.p1
OG0000091	F08C6.1b.p1
OG0000091	F10E7.4.p1
OG0000091	F14H12.3.p1
OG0000091	F15B9.8.p1
OG0000091	T21B6.3.p1
OG0000091	T21D12.7.p1
OG0000093	F42A6.7a.p1
OG0000093	F42A6.7b.p1
OG0000093	F42A6.7c.p1
OG0000093	F42A6.7d.p1
OG0000093	H28G03.1a.p1
OG0000093	H28G03.1b.p1
OG0000093	H28G03.1c.p1
OG0000093	R10E9.1.p1
OG0000093	Y73B6BL.6a.p1
OG0000093	Y73B6BL.6b.p1
OG0000094	E01F3.1a.p1
OG0000094	E01F3.1b.p1
OG0000094	E01F3.1c.p1
OG0000094	E01F3.1d.p1
OG0000094	E01F3.1e.p1
OG0000094	R153.1a.p1
OG0000094	R153.1b.p1
OG0000094	R153.1c.p1
OG0000094	R153.1d.p1
OG0000094	R153.1e.p1
OG0000094	R153.1f.p1
OG0000094	R153.1g.p1
OG0000094	T04D3.3a.p1
OG0000094	T04D3.3b.p1
OG0000094	Y95B8A.10a.p1
OG0000094	Y95B8A.10b.p1
OG0000095	C48B4.4a.p1
OG0000095	C48B4.4b.p1
OG0000095	C48B4.4c.p1
OG0000095	C48B4.4d.p1
OG0000095	F12B6.1.p1
OG0000095	F56F4.6.p1
OG0000095	Y39D8C.1.p1
OG0000095	Y53C10A.9.p1
OG0000097	B0035.8.p1
OG0000097	C50F4.5.p1
OG0000097	F07B7.11.p1
OG0000097	F07B7.4.p1
OG0000097	F08G2.1.p1
OG0000097	F17E9.9.p1
OG0000097	F35H10.11.p1
OG0000097	F45F2.12.p1
OG0000097	F45F2.2.p1
OG0000097	F54E12.4.p1
OG0000097	F55G1.3.p1
OG0000097	H02I12.6.p1
OG0000097	K06C4.12.p1
OG0000097	K06C4.4.p1
OG0000097	T10C6.11.p1
OG0000097	ZK131.5.p1
OG0000097	ZK131.9.p1
OG0000099	B0545.1a.p1
OG0000099	B0545.1b.p1
OG0000099	C12D8.10a.p1
OG0000099	C12D8.10b.p1
OG0000099	C12D8.10c.p1
OG0000099	E01H11.1a.p1
OG0000099	E01H11.1b.p1
OG0000099	E01H11.1c.p1
OG0000099	E01H11.1d.p1
OG0000099	F09E5.1.p1
OG0000099	F28H6.1a.p1
OG0000099	F28H6.1b.p1
OG0000099	F46F6.2a.p1
OG0000099	F46F6.2b.p1
OG0000099	F57F5.5a.p1
OG0000099	F57F5.5b.p1
OG0000100	C39F7.4.p1
OG0000100	D1037.4.p1
OG0000100	K02E10.1.p1
OG0000100	T23H2.5.p1
OG0000100	W01H2.3a.p1
OG0000100	W01H2.3b.p1
OG0000100	Y45F3A.2.p1
OG0000100	Y62E10A.9.p1
OG0000101	C52B11.2.p1
OG0000101	F22E5.12.p1
OG0000101	F32B4.5a.p1
OG0000101	F46G10.1a.p1
OG0000101	F47D12.3.p1
OG0000101	F49H12.3.p1
OG0000101	F59F3.6.p1
OG0000101	K02F6.5.p1
OG0000101	K02F6.8.p1
OG0000101	T08G3.13.p1
OG0000101	T23G5.3.p1
OG0000101	VM106R.1.p1
OG0000101	ZC239.3.p1
OG0000101	ZC239.5.p1
OG0000101	ZC239.6.p1
OG0000103	C04A11.3.p1
OG0000103	C24A8.4.p1
OG0000103	F14H12.4a.p1
OG0000103	F14H12.4b.p1
OG0000103	T17E9.1a.p1
OG0000103	T17E9.1b.p1
OG0000103	T19A5.2a.p1
OG0000103	T19A5.2b.p1
OG0000103	T19A5.2c.p1
OG0000103	T19A5.2d.p1
OG0000106	C26H9A.2a.p1
OG0000106	C26H9A.2b.p1
OG0000106	C26H9A.2c.p1
OG0000106	C26H9A.2d.p1
OG0000106	F10F2.1.p1
OG0000107	F49B2.6.p1
OG0000107	F49E8.3a.p1
OG0000107	F49E8.3b.p1
OG0000107	T07F10.1a.p1
OG0000107	T07F10.1b.p1
OG0000108	F17A2.3.p1
OG0000108	F26F12.7.p1
OG0000108	H06O01.2.p1
OG0000108	K09A11.5.p1
OG0000108	T04D1.4.p1
OG0000108	T14G8.1.p1
OG0000111	B0035.10.p1
OG0000111	E03A3.3.p1
