Orthogroup	Apar_TRX
OG0000000	Apar_comp24313_c1_seq1m45746
OG0000000	Apar_comp24328_c1_seq1m45980
OG0000000	Apar_comp24328_c1_seq2m45981
OG0000000	Apar_comp24328_c1_seq3m45982
OG0000000	Apar_comp24328_c1_seq4m45984
OG0000000	Apar_comp24328_c1_seq5m45986
OG0000000	Apar_comp24328_c1_seq6m45987
OG0000000	Apar_comp24328_c1_seq7m45988
OG0000000	Apar_comp24328_c1_seq8m45990
OG0000000	Apar_comp9118_c0_seq1m4286
OG0000009	Apar_comp14204_c2_seq1m10163
OG0000009	Apar_comp14981_c1_seq1m11584
OG0000009	Apar_comp15728_c0_seq1m12912
OG0000009	Apar_comp15934_c0_seq1m13328
OG0000009	Apar_comp16886_c3_seq1m15395
OG0000009	Apar_comp17724_c0_seq1m17655
OG0000009	Apar_comp18059_c0_seq1m18619
OG0000009	Apar_comp18183_c1_seq1m19022
OG0000009	Apar_comp18211_c0_seq1m19113
OG0000009	Apar_comp18554_c8_seq1m20033
OG0000009	Apar_comp18781_c0_seq1m20682
OG0000009	Apar_comp19885_c2_seq1m24067
OG0000009	Apar_comp20088_c0_seq1m24739
OG0000009	Apar_comp20089_c1_seq1m24741
OG0000009	Apar_comp20275_c0_seq1m25403
OG0000009	Apar_comp20280_c0_seq1m25429
OG0000009	Apar_comp20280_c0_seq2m25430
OG0000009	Apar_comp20280_c0_seq3m25433
OG0000009	Apar_comp20502_c1_seq1m26208
OG0000009	Apar_comp20560_c0_seq1m26409
OG0000009	Apar_comp20909_c0_seq1m27871
OG0000009	Apar_comp20955_c0_seq1m28025
OG0000009	Apar_comp20955_c0_seq2m28029
OG0000009	Apar_comp21903_c0_seq1m31437
OG0000009	Apar_comp21903_c0_seq2m31439
OG0000009	Apar_comp21903_c0_seq3m31441
OG0000009	Apar_comp22044_c0_seq1m32032
OG0000009	Apar_comp22900_c0_seq1m36215
OG0000009	Apar_comp22900_c0_seq2m36217
OG0000009	Apar_comp23032_c0_seq1m36819
OG0000009	Apar_comp23032_c0_seq2m36822
OG0000009	Apar_comp23193_c0_seq1m37624
OG0000009	Apar_comp23193_c0_seq2m37626
OG0000009	Apar_comp23384_c1_seq1m38725
OG0000009	Apar_comp23552_c0_seq1m39767
OG0000009	Apar_comp24251_c2_seq6m44928
OG0000009	Apar_comp394_c1_seq1m64
OG0000009	Apar_comp7552_c1_seq1m3209
OG0000009	Apar_comp83743_c0_seq1m48439
OG0000009	Apar_comp8544_c0_seq1m3835
OG0000009	Apar_comp875_c0_seq1m260
OG0000009	Apar_comp98526_c0_seq1m48702
OG0000012	Apar_comp10712_c0_seq1m5373
OG0000012	Apar_comp19106_c1_seq1m21693
OG0000012	Apar_comp19106_c3_seq1m21694
OG0000012	Apar_comp19210_c1_seq1m21953
OG0000012	Apar_comp19786_c0_seq1m23726
OG0000012	Apar_comp19786_c0_seq2m23731
OG0000012	Apar_comp20215_c0_seq1m25144
OG0000012	Apar_comp20215_c0_seq2m25146
OG0000012	Apar_comp20215_c0_seq3m25147
OG0000012	Apar_comp20627_c1_seq1m26677
OG0000012	Apar_comp20627_c1_seq2m26680
OG0000012	Apar_comp21172_c0_seq1m28701
OG0000012	Apar_comp22180_c0_seq1m32566
OG0000012	Apar_comp22927_c0_seq1m36310
OG0000012	Apar_comp23489_c0_seq1m39306
OG0000012	Apar_comp23489_c3_seq1m39314
OG0000012	Apar_comp23834_c1_seq1m41592
OG0000012	Apar_comp23853_c0_seq1m41698
OG0000012	Apar_comp23853_c0_seq2m41702
OG0000012	Apar_comp23853_c0_seq3m41706
OG0000012	Apar_comp23853_c0_seq4m41708
OG0000012	Apar_comp23938_c0_seq1m42297
OG0000012	Apar_comp24261_c0_seq1m45045
OG0000012	Apar_comp24301_c0_seq1m45587
OG0000012	Apar_comp24301_c0_seq2m45592
OG0000012	Apar_comp24301_c0_seq3m45597
