Orthogroup	PT_TRX
OG0000000	PT_v1_tr_01736.p1
OG0000000	PT_v1_tr_02190.p1
OG0000000	PT_v1_tr_02930.p1
OG0000000	PT_v1_tr_04633.p1
OG0000000	PT_v1_tr_04892.p1
OG0000000	PT_v1_tr_05391.p1
OG0000000	PT_v1_tr_06756.p1
OG0000000	PT_v1_tr_07988.p1
OG0000000	PT_v1_tr_07989.p1
OG0000000	PT_v1_tr_08064.p1
OG0000000	PT_v1_tr_10779.p1
OG0000000	PT_v1_tr_10780.p1
OG0000009	PT_v1_tr_00060.p1
OG0000009	PT_v1_tr_00739.p1
OG0000009	PT_v1_tr_04312.p1
OG0000009	PT_v1_tr_04605.p1
OG0000009	PT_v1_tr_05341.p1
OG0000009	PT_v1_tr_10357.p1
OG0000009	PT_v1_tr_10710.p1
OG0000012	PT_v1_tr_00393.p1
OG0000012	PT_v1_tr_01164.p1
OG0000012	PT_v1_tr_01165.p1
OG0000012	PT_v1_tr_01256.p1
OG0000012	PT_v1_tr_01687.p1
OG0000012	PT_v1_tr_02047.p1
OG0000012	PT_v1_tr_02572.p2
OG0000012	PT_v1_tr_02744.p1
OG0000012	PT_v1_tr_03242.p1
OG0000012	PT_v1_tr_04503.p1
OG0000012	PT_v1_tr_05238.p1
OG0000012	PT_v1_tr_08012.p1
OG0000012	PT_v1_tr_10451.p1
OG0000012	PT_v1_tr_10770.p1
OG0000012	PT_v1_tr_10872.p1
OG0000013	PT_v1_tr_01469.p1
OG0000013	PT_v1_tr_01914.p1
OG0000013	PT_v1_tr_02496.p1
OG0000013	PT_v1_tr_03362.p1
OG0000013	PT_v1_tr_03562.p1
OG0000013	PT_v1_tr_03858.p1
OG0000013	PT_v1_tr_04200.p1
OG0000013	PT_v1_tr_04709.p1
OG0000013	PT_v1_tr_08264.p1
OG0000013	PT_v1_tr_08421.p1
OG0000013	PT_v1_tr_10062.p1
OG0000013	PT_v1_tr_10774.p1
OG0000013	PT_v1_tr_10775.p1
OG0000015	PT_v1_tr_04838.p1
OG0000015	PT_v1_tr_05326.p1
OG0000015	PT_v1_tr_05353.p1
OG0000015	PT_v1_tr_07292.p1
OG0000015	PT_v1_tr_07491.p1
OG0000015	PT_v1_tr_07492.p1
OG0000015	PT_v1_tr_07857.p1
OG0000015	PT_v1_tr_07996.p1
OG0000015	PT_v1_tr_08054.p1
OG0000015	PT_v1_tr_10501.p1
OG0000015	PT_v1_tr_10645.p1
OG0000015	PT_v1_tr_10646.p1
OG0000016	PT_v1_tr_01393.p1
OG0000016	PT_v1_tr_01719.p1
OG0000016	PT_v1_tr_02434.p1
OG0000016	PT_v1_tr_04810.p1
OG0000016	PT_v1_tr_07458.p1
OG0000016	PT_v1_tr_08596.p1
OG0000016	PT_v1_tr_09822.p1
OG0000016	PT_v1_tr_10549.p1
OG0000017	PT_v1_tr_00113.p1
OG0000017	PT_v1_tr_00681.p1
OG0000017	PT_v1_tr_02286.p1
OG0000017	PT_v1_tr_02513.p1
OG0000017	PT_v1_tr_10093.p1
OG0000017	PT_v1_tr_10825.p1
OG0000021	PT_v1_tr_02696.p1
OG0000021	PT_v1_tr_03014.p1
OG0000021	PT_v1_tr_03538.p1
OG0000021	PT_v1_tr_04028.p1
OG0000021	PT_v1_tr_04226.p1
OG0000021	PT_v1_tr_04861.p1
OG0000021	PT_v1_tr_05142.p1
OG0000021	PT_v1_tr_07124.p1
OG0000021	PT_v1_tr_07177.p1
OG0000021	PT_v1_tr_09209.p1
OG0000021	PT_v1_tr_09373.p1
OG0000023	PT_v1_tr_00724.p1
OG0000023	PT_v1_tr_03256.p1
OG0000023	PT_v1_tr_04363.p1
OG0000023	PT_v1_tr_05474.p1
OG0000023	PT_v1_tr_06369.p1
OG0000023	PT_v1_tr_08082.p1
OG0000023	PT_v1_tr_08104.p1
OG0000023	PT_v1_tr_09085.p1
OG0000029	PT_v1_tr_06615.p1
OG0000029	PT_v1_tr_06626.p1
OG0000030	PT_v1_tr_06054.p1
OG0000030	PT_v1_tr_06703.p1
OG0000030	PT_v1_tr_06705.p1
OG0000030	PT_v1_tr_07863.p1
OG0000030	PT_v1_tr_07891.p1
OG0000030	PT_v1_tr_10907.p1
OG0000031	PT_v1_tr_00347.p1
OG0000031	PT_v1_tr_02689.p1
OG0000031	PT_v1_tr_04110.p1
OG0000031	PT_v1_tr_09726.p1
OG0000031	PT_v1_tr_09913.p1
OG0000031	PT_v1_tr_10311.p1
OG0000033	PT_v1_tr_00015.p1
OG0000033	PT_v1_tr_01244.p1
OG0000033	PT_v1_tr_01366.p1
