Orthogroup	AQ_TRX
OG0000000	Aqu2.1.00077_001.p1
OG0000000	Aqu2.1.00169_001.p1
OG0000000	Aqu2.1.00174_001.p1
OG0000000	Aqu2.1.00181_001.p1
OG0000000	Aqu2.1.00308_001.p1
OG0000000	Aqu2.1.00361_001.p1
OG0000000	Aqu2.1.00376_001.p1
OG0000000	Aqu2.1.00612_001.p1
OG0000000	Aqu2.1.00927_001.p1
OG0000000	Aqu2.1.00933_001.p1
OG0000000	Aqu2.1.00945_001.p1
OG0000000	Aqu2.1.00976_001.p1
OG0000000	Aqu2.1.01021_001.p1
OG0000000	Aqu2.1.01028_001.p1
OG0000000	Aqu2.1.01545_001.p1
OG0000000	Aqu2.1.01658_001.p1
OG0000000	Aqu2.1.01997_001.p1
OG0000000	Aqu2.1.02009_001.p1
OG0000000	Aqu2.1.02294_001.p1
OG0000000	Aqu2.1.02774_001.p1
OG0000000	Aqu2.1.03106_001.p1
OG0000000	Aqu2.1.03445_001.p1
OG0000000	Aqu2.1.03719_001.p1
OG0000000	Aqu2.1.04117_001.p1
OG0000000	Aqu2.1.04960_001.p1
OG0000000	Aqu2.1.05509_001.p1
OG0000000	Aqu2.1.05661_001.p1
OG0000000	Aqu2.1.06912_001.p1
OG0000000	Aqu2.1.07619_001.p1
OG0000000	Aqu2.1.07750_001.p1
OG0000000	Aqu2.1.08003_001.p1
OG0000000	Aqu2.1.08082_001.p1
OG0000000	Aqu2.1.08148_001.p1
OG0000000	Aqu2.1.08149_001.p1
OG0000000	Aqu2.1.08805_001.p1
OG0000000	Aqu2.1.08890_001.p1
OG0000000	Aqu2.1.08952_001.p1
OG0000000	Aqu2.1.09071_001.p1
OG0000000	Aqu2.1.09550_001.p1
OG0000000	Aqu2.1.10301_001.p1
OG0000000	Aqu2.1.10313_001.p1
OG0000000	Aqu2.1.10492_001.p1
OG0000000	Aqu2.1.10625_001.p1
OG0000000	Aqu2.1.11098_001.p1
OG0000000	Aqu2.1.11127_001.p1
OG0000000	Aqu2.1.11492_001.p1
OG0000000	Aqu2.1.11539_001.p1
OG0000000	Aqu2.1.11927_001.p1
OG0000000	Aqu2.1.12163_001.p1
OG0000000	Aqu2.1.12164_001.p1
OG0000000	Aqu2.1.12178_001.p1
OG0000000	Aqu2.1.12325_001.p1
OG0000000	Aqu2.1.12867_001.p1
OG0000000	Aqu2.1.13266_001.p1
OG0000000	Aqu2.1.13463_001.p1
OG0000000	Aqu2.1.13575_001.p1
OG0000000	Aqu2.1.13825_001.p1
OG0000000	Aqu2.1.13922_001.p1
OG0000000	Aqu2.1.14444_001.p1
OG0000000	Aqu2.1.14466_001.p1
OG0000000	Aqu2.1.14820_001.p1
OG0000000	Aqu2.1.14954_001.p1
OG0000000	Aqu2.1.16106_001.p1
OG0000000	Aqu2.1.16642_001.p1
OG0000000	Aqu2.1.16786_001.p1
OG0000000	Aqu2.1.16929_001.p1
OG0000000	Aqu2.1.17263_001.p1
OG0000000	Aqu2.1.17613_001.p1
OG0000000	Aqu2.1.17687_001.p1
OG0000000	Aqu2.1.18230_001.p1
OG0000000	Aqu2.1.18366_001.p1
OG0000000	Aqu2.1.18391_001.p1
OG0000000	Aqu2.1.19023_001.p1
OG0000000	Aqu2.1.19061_001.p1
OG0000000	Aqu2.1.19373_001.p1
OG0000000	Aqu2.1.19374_001.p1
OG0000000	Aqu2.1.19937_001.p1
OG0000000	Aqu2.1.20169_001.p1
OG0000000	Aqu2.1.20313_001.p1
OG0000000	Aqu2.1.20983_001.p1
OG0000000	Aqu2.1.20995_001.p1
OG0000000	Aqu2.1.21633_001.p1
OG0000000	Aqu2.1.21685_001.p1
OG0000000	Aqu2.1.21691_001.p1
OG0000000	Aqu2.1.21921_001.p1
OG0000000	Aqu2.1.22007_001.p1
OG0000000	Aqu2.1.22185_001.p1
OG0000000	Aqu2.1.22186_001.p1
