Orthogroup	DD_TRX
OG0000000	XP_628710.1
OG0000000	XP_628711.1
OG0000000	XP_628720.1
OG0000000	XP_628721.1
OG0000000	XP_628728.1
OG0000000	XP_628729.1
OG0000000	XP_628738.1
OG0000000	XP_628739.1
OG0000000	XP_628756.1
OG0000000	XP_628765.1
OG0000000	XP_628766.1
OG0000000	XP_628767.1
OG0000000	XP_628768.1
OG0000000	XP_628775.1
OG0000000	XP_628780.1
OG0000000	XP_628785.1
OG0000000	XP_628823.1
OG0000000	XP_635336.1
OG0000000	XP_637680.1
OG0000000	XP_640704.2
OG0000000	XP_641178.1
OG0000000	XP_646285.1
OG0000000	XP_647685.1
OG0000000	XP_647691.1
OG0000000	XP_647694.1
OG0000000	XP_647714.1
OG0000000	XP_647772.1
OG0000000	XP_647774.1
OG0000009	XP_635349.1
OG0000009	XP_636635.1
OG0000009	XP_641978.1
OG0000009	XP_644203.1
OG0000009	XP_646399.1
OG0000012	XP_001733030.1
OG0000012	XP_629482.1
OG0000012	XP_629701.1
OG0000012	XP_636359.1
OG0000012	XP_636382.1
OG0000012	XP_636580.1
OG0000012	XP_637740.1
OG0000012	XP_641363.1
OG0000012	XP_643060.1
OG0000012	XP_643200.1
OG0000012	XP_643446.1
OG0000012	XP_643599.1
OG0000012	XP_643950.1
OG0000012	XP_644171.1
OG0000012	XP_645195.1
OG0000012	XP_645640.1
OG0000013	XP_643185.1
OG0000016	XP_640636.2
OG0000016	XP_643824.1
OG0000016	XP_643956.1
OG0000017	XP_001134632.1
OG0000021	XP_640326.1
OG0000021	XP_642173.1
OG0000021	XP_644525.1
OG0000021	XP_644725.1
OG0000023	XP_635238.1
OG0000023	XP_637090.1
OG0000023	XP_637140.1
OG0000023	XP_637141.1
OG0000023	XP_637615.1
OG0000023	XP_638351.1
OG0000023	XP_639904.1
OG0000023	XP_640932.1
OG0000023	XP_640934.1
OG0000023	XP_641045.1
OG0000023	XP_641050.1
OG0000023	XP_641188.1
OG0000023	XP_641365.1
OG0000029	XP_629126.1
OG0000029	XP_629127.1
OG0000029	XP_629362.1
OG0000029	XP_636042.1
OG0000029	XP_636043.1
OG0000029	XP_636281.1
OG0000029	XP_637053.1
OG0000029	XP_637199.1
OG0000029	XP_640353.1
OG0000029	XP_640709.1
OG0000029	XP_640710.1
OG0000029	XP_643502.1
OG0000029	XP_643503.1
OG0000029	XP_644137.1
OG0000029	XP_644138.1
OG0000029	XP_644507.1
OG0000029	XP_644743.1
OG0000029	XP_646017.1
OG0000029	XP_646070.1
OG0000029	XP_646079.1
OG0000029	XP_646231.1
OG0000029	XP_646646.1
OG0000029	XP_646647.1
OG0000029	XP_647273.1
OG0000031	XP_636601.1
OG0000031	XP_639135.1
OG0000031	XP_642396.1
OG0000031	XP_644477.1
OG0000031	XP_644773.1
OG0000031	XP_644979.1
OG0000031	XP_647110.1
OG0000031	XP_647537.1
OG0000036	XP_635408.1
OG0000038	XP_629689.1
OG0000038	XP_638191.1
OG0000038	XP_640486.1
OG0000038	XP_642250.1
OG0000040	XP_629353.1
OG0000040	XP_629590.1
OG0000040	XP_640074.1
OG0000040	XP_641234.1
OG0000040	XP_643962.1
OG0000040	XP_645276.1
OG0000040	XP_645668.1
OG0000040	XP_647599.1
OG0000045	XP_629409.1
OG0000045	XP_636822.1
OG0000045	XP_638059.1
OG0000045	XP_639049.1
OG0000045	XP_640375.1
OG0000045	XP_642370.1
OG0000045	XP_644481.1
OG0000045	XP_644769.1
OG0000045	XP_645433.1
OG0000045	XP_645624.1
OG0000045	XP_645942.1
OG0000045	XP_646403.2
OG0000045	XP_646404.1
OG0000046	XP_635374.1
OG0000046	XP_635417.1
OG0000046	XP_637918.1
OG0000046	XP_638859.1
OG0000046	XP_639299.1
OG0000046	XP_640530.1
OG0000046	XP_641494.1
OG0000046	XP_641720.2
OG0000046	XP_641725.1
OG0000046	XP_641963.1
OG0000046	XP_642342.1
OG0000046	XP_644977.1
OG0000046	XP_644986.1
OG0000046	XP_645281.1
OG0000047	XP_642818.1
OG0000048	XP_629230.1
OG0000048	XP_635435.1
OG0000048	XP_636780.1
OG0000048	XP_638546.1
OG0000048	XP_639868.1
OG0000048	XP_640581.1
OG0000049	XP_637721.1
OG0000049	XP_644898.2
OG0000049	XP_645286.1
OG0000052	XP_635105.1
OG0000052	XP_638962.1
OG0000052	XP_639953.1
OG0000052	XP_642501.1
OG0000052	XP_643136.1
OG0000052	XP_643821.1
OG0000052	XP_644036.1
OG0000052	XP_645632.1
OG0000052	XP_646057.1
OG0000055	XP_001134591.1
OG0000055	XP_635175.1
OG0000055	XP_636106.1
OG0000055	XP_637272.1
OG0000055	XP_638143.1
OG0000055	XP_638543.1
OG0000055	XP_640259.1
OG0000055	XP_640306.1
OG0000055	XP_641581.1
OG0000055	XP_646127.1
OG0000058	XP_002649188.1
OG0000058	XP_629042.1
OG0000058	XP_636486.1
OG0000058	XP_636748.1
OG0000058	XP_637360.1
OG0000058	XP_637540.1
OG0000058	XP_639932.1
OG0000058	XP_644544.1
OG0000059	XP_001134624.1
OG0000059	XP_001733042.1
OG0000059	XP_635565.1
OG0000059	XP_638564.1
OG0000059	XP_639006.1
OG0000059	XP_643975.1
OG0000059	XP_644234.1
OG0000059	XP_644982.1
OG0000059	XP_645143.1
OG0000059	XP_645377.1
OG0000059	XP_646328.1
OG0000059	XP_646511.1
OG0000059	XP_646521.1
OG0000066	XP_629517.1
OG0000066	XP_638521.1
OG0000066	XP_638987.1
OG0000066	XP_640010.1
OG0000066	XP_645254.1
OG0000066	XP_645899.1
OG0000067	XP_636327.1
OG0000067	XP_637656.1
OG0000067	XP_641587.1
OG0000069	XP_629133.1
OG0000069	XP_629300.1
OG0000069	XP_629338.1
OG0000069	XP_635131.1
OG0000069	XP_639004.1
OG0000069	XP_639024.1
OG0000069	XP_640683.1
OG0000069	XP_640914.1
OG0000069	XP_641174.2
OG0000069	XP_642878.1
OG0000069	XP_644935.1
OG0000069	XP_646561.1
OG0000069	XP_646562.1
OG0000069	XP_646563.1
OG0000069	XP_646564.1
OG0000069	XP_646571.1
OG0000069	XP_646572.1
OG0000069	XP_646721.1
OG0000072	XP_636030.1
OG0000072	XP_636088.1
OG0000072	XP_636169.1
OG0000072	XP_636187.1
OG0000072	XP_636188.1
OG0000072	XP_636192.1
OG0000072	XP_636193.1
OG0000072	XP_636425.1
OG0000072	XP_636500.1
OG0000072	XP_636507.1
OG0000072	XP_640964.1
OG0000072	XP_641146.1
OG0000072	XP_643865.1
OG0000072	XP_643986.1
OG0000072	XP_643988.1
OG0000072	XP_643989.1
OG0000072	XP_643990.1
OG0000072	XP_644132.1
OG0000072	XP_644146.1
OG0000072	XP_644157.1
OG0000072	XP_644244.1
OG0000072	XP_644246.1
OG0000072	XP_644247.1
OG0000072	XP_645099.1
OG0000072	XP_645262.1
OG0000072	XP_646688.1
OG0000072	XP_646924.1
OG0000076	XP_636231.1
OG0000076	XP_636353.1
OG0000076	XP_636410.2
OG0000076	XP_636876.2
OG0000076	XP_636938.1
OG0000076	XP_641084.1
OG0000076	XP_641090.1
OG0000076	XP_641199.1
OG0000076	XP_645417.1
OG0000077	XP_002649137.1
OG0000077	XP_640503.1
OG0000079	XP_636795.1
OG0000079	XP_638951.1
OG0000079	XP_640016.1
OG0000079	XP_641160.1
OG0000079	XP_641658.1
OG0000079	XP_643983.1
OG0000079	XP_646208.1
OG0000084	XP_628990.1
OG0000084	XP_629400.1
OG0000084	XP_629838.1
OG0000084	XP_636408.2
OG0000084	XP_637561.1
OG0000084	XP_640169.1
OG0000084	XP_640935.1
OG0000084	XP_641575.1
OG0000084	XP_642196.1
OG0000084	XP_642823.1
OG0000084	XP_646071.1
OG0000084	XP_646202.1
OG0000084	XP_646346.1
OG0000084	XP_647053.2
OG0000086	XP_635457.1
OG0000086	XP_635506.1
OG0000086	XP_635848.1
OG0000086	XP_638190.1
OG0000086	XP_641789.1
OG0000086	XP_642101.1
OG0000086	XP_642917.1
OG0000086	XP_643838.1
OG0000086	XP_644893.1
OG0000086	XP_644916.1
OG0000087	XP_635385.1
OG0000087	XP_638016.1
OG0000087	XP_638017.1
OG0000087	XP_638323.1
OG0000087	XP_645858.1
OG0000087	XP_646548.1
OG0000088	XP_637799.1
OG0000088	XP_638196.1
OG0000088	XP_638555.1
OG0000088	XP_639050.1
OG0000088	XP_639105.1
OG0000088	XP_639172.1
OG0000088	XP_641394.1
OG0000088	XP_643087.1
OG0000088	XP_643229.1
OG0000089	XP_629325.1
OG0000089	XP_635469.1
OG0000089	XP_635769.1
OG0000089	XP_636051.1
OG0000089	XP_636070.1
OG0000089	XP_636129.1
OG0000089	XP_636152.1
OG0000089	XP_638600.1
OG0000089	XP_640199.1
OG0000089	XP_640241.1
OG0000089	XP_640583.1
OG0000089	XP_641705.1
OG0000089	XP_642094.1
OG0000089	XP_642150.1
OG0000089	XP_642834.1
OG0000089	XP_643190.2
OG0000089	XP_643387.1
OG0000089	XP_643499.1
OG0000089	XP_643977.1
OG0000089	XP_643999.1
OG0000089	XP_645356.1
OG0000089	XP_645439.1
OG0000089	XP_646271.1
OG0000089	XP_646480.1
OG0000089	XP_647205.1
OG0000089	XP_647595.1
OG0000089	XP_647789.1
OG0000090	XP_629089.1
OG0000090	XP_629091.1
OG0000090	XP_638227.1
OG0000090	XP_643155.1
OG0000090	XP_644428.1
OG0000090	XP_644523.1
OG0000090	XP_644727.1
OG0000090	XP_644822.1
OG0000090	XP_646617.1
OG0000093	XP_629598.1
OG0000094	XP_001732951.1
OG0000094	XP_636380.1
OG0000094	XP_638612.1
OG0000095	XP_629134.1
OG0000095	XP_629792.1
OG0000095	XP_635211.1
OG0000095	XP_639039.1
OG0000095	XP_643638.1
OG0000095	XP_643915.1
OG0000095	XP_644031.1
OG0000095	XP_645692.1
OG0000095	XP_647274.1
OG0000097	XP_628972.1
OG0000097	XP_637684.1
OG0000099	XP_636525.1
OG0000100	XP_635210.2
OG0000100	XP_638915.1
OG0000100	XP_639975.1
OG0000100	XP_641380.1
OG0000100	XP_642309.1
OG0000100	XP_643115.1
OG0000100	XP_643379.1
OG0000100	XP_645455.1
OG0000100	XP_646027.1
OG0000101	XP_629860.1
OG0000101	XP_635145.1
OG0000101	XP_637254.1
OG0000101	XP_637787.1
OG0000101	XP_637912.1
OG0000101	XP_637975.1
OG0000101	XP_641861.1
OG0000101	XP_644227.1
OG0000101	XP_646258.2
